R0: PRELIMINARY DATA                                                                                                                                                                                    ,,,,,,,,,,,,,,,
TIME_UTC, P, T, TAS, U, V, W, TEDR, REYN, G_LAT, G_LONG, G_ALT, POT, ROLL, HDG, PITCH                                                                                                                   
72471.3,100071,29187,12167,296,-488,-278,-461,555,3743130,-12205587,-62,29181,461,34068,2587
72472.3,99774,29155,12017,234,-566,-16,-573,561,3743231,-12205634,81,29174,4996,34715,2902
72473.3,99198,29110,11777,173,-544,-599,-824,558,3743332,-12205678,264,29177,6621,122,2560
72474.3,98522,29078,11564,152,-585,320,-750,561,3743436,-12205710,460,29201,7547,1224,2399
72475.3,98186,29062,11306,143,-505,214,-461,554,3743530,-12205744,764,29214,7575,2156,2166
72476.3,97853,29047,11132,122,-456,-37,-617,552,3743625,-12205753,973,29228,7451,2922,1996
72477.3,97666,29046,11083,-35,-451,972,-631,546,3743710,-12205709,1229,29242,6563,3482,1779
72478.3,97360,29016,11121,-181,-442,1649,-723,551,3743788,-12205640,1540,29239,4144,3645,1666
72479.3,97069,28998,11117,-186,-369,736,-754,542,3743859,-12205558,1934,29245,2682,3777,1626
72480.3,96807,29033,11037,-214,-198,923,-700,523,3743929,-12205472,2287,29303,1644,3889,1581
72481.3,96576,29041,11004,-223,-59,430,-794,518,3743998,-12205388,2592,29332,912,4018,1559
72482.3,96371,29057,10974,-157,12,150,-820,495,3744069,-12205302,2893,29365,506,4055,1564
72483.3,96166,29070,10922,-35,56,229,-720,461,3744141,-12205216,3183,29397,246,4028,1567
72484.3,95968,29060,10903,27,103,161,-845,482,3744214,-12205130,3463,29404,210,4014,1567
72485.3,95782,29047,10900,80,135,402,-976,505,3744288,-12205044,3734,29407,91,4035,1553
72486.3,95593,29039,10929,95,170,376,-722,506,3744363,-12204959,3998,29416,53,4025,1511
72487.35,95413,29042,10931,131,228,273,-884,521,3744438,-12204872,4255,29434,65,4040,1493
72488.35,95247,29051,10947,186,255,266,-643,532,3744513,-12204784,4508,29458,34,4038,1445
72489.35,95077,29047,10991,214,274,271,-739,536,3744590,-12204697,4751,29469,77,4035,1411
72490.35,94894,29058,10989,284,328,-181,-670,544,3744666,-12204610,4985,29497,-8,4035,1415
72491.35,94708,29067,11000,367,345,94,-724,551,3744744,-12204522,5204,29522,22,4035,1392
72492.35,94530,29082,11008,418,390,292,-786,552,3744822,-12204435,5418,29553,-28,4015,1324
72493.35,94358,29069,11035,428,412,180,-585,557,3744901,-12204345,5640,29555,37,4009,1305
72494.35,94188,29101,11003,478,422,33,-1036,563,3744980,-12204258,5819,29603,-93,4028,1311
72495.35,94016,29160,10893,551,514,6,-1003,567,3745059,-12204174,5982,29679,-80,4010,1344
72496.35,93866,29165,10904,517,526,216,-662,565,3745138,-12204087,6134,29697,15,4037,1330
72497.35,93719,29180,10887,548,535,393,-928,567,3745217,-12204002,6279,29725,36,4062,1283
72498.35,93564,29211,10864,545,565,159,-829,569,3745296,-12203915,6419,29771,-8,4052,1280
72499.35,93427,29231,10873,491,578,139,-745,566,3745374,-12203828,6553,29805,-4,4090,1199
72500.35,93303,29250,10895,461,573,163,-739,565,3745454,-12203743,6683,29835,-53,4111,1129
72501.35,93193,29280,10913,473,550,69,-880,565,3745532,-12203656,6801,29875,-13,4118,1070
72502.35,93096,29291,10925,505,528,177,-755,564,3745611,-12203571,6911,29895,-1,4089,1002
72503.35,93007,29289,10945,514,523,420,-913,565,3745690,-12203484,7009,29902,66,4098,980
72504.35,92923,29283,10975,504,531,512,-804,565,3745768,-12203398,7099,29903,-41,4111,956
72505.35,92849,29272,11037,489,508,437,-891,562,3745847,-12203310,7179,29899,-143,4089,915
72506.35,92784,29274,11099,494,477,359,-833,561,3745926,-12203223,7249,29907,-208,4079,849
72507.35,92720,29276,11121,505,498,318,-687,563,3746006,-12203134,7311,29915,-272,4042,856
72508.35,92671,29271,11215,466,472,226,-729,559,3746086,-12203048,7378,29914,-198,4048,754
72509.35,92639,29271,11276,464,477,74,-603,561,3746166,-12202959,7441,29917,-239,4045,702
72510.35,92611,29273,11345,466,469,140,-730,560,3746247,-12202872,7494,29922,-206,4023,673
72511.35,92587,29275,11412,476,469,139,-781,560,3746328,-12202784,7538,29926,-202,4016,631
72512.35,92573,29278,11500,482,448,13,-781,561,3746411,-12202695,7570,29931,-164,4000,619
72513.35,92559,29274,11574,483,450,85,-781,560,3746494,-12202605,7590,29928,-231,3984,603
72514.35,92547,29271,11629,492,469,147,-831,561,3746578,-12202517,7600,29926,-142,3972,609
72515.35,92536,29269,11704,497,467,286,-702,562,3746663,-12202427,7601,29925,-37,3980,582
72516.35,92526,29261,11770,507,470,380,-740,562,3746748,-12202336,7595,29917,93,3995,595
72517.35,92512,29249,11836,516,479,429,-586,563,3746834,-12202245,7588,29907,614,4051,558
72518.35,92490,29242,11814,573,485,363,-621,565,3746920,-12202153,7578,29902,2318,4269,576
72519.35,92466,29242,11798,561,522,366,-576,567,3747004,-12202059,7573,29904,3259,4704,630
72520.35,92445,29237,11807,535,544,570,-750,566,3747088,-12201960,7532,29900,4070,5140,531
72521.35,92425,29231,11806,530,571,821,-836,567,3747165,-12201854,7495,29897,4485,5617,478
72522.35,92399,29234,11796,569,553,473,-709,568,3747236,-12201743,7455,29902,4636,6106,420
72523.35,92361,29230,11761,642,522,31,-694,570,3747300,-12201622,7415,29901,4409,6610,464
72524.35,92362,29230,11785,621,508,-196,-652,568,3747356,-12201498,7384,29901,4395,7067,498
72525.35,92361,29219,11802,577,549,31,-586,569,3747404,-12201368,7404,29890,4415,7529,491
72526.35,92364,29217,11753,600,536,-41,-494,568,3747443,-12201234,7404,29887,4320,7949,471
72527.35,92367,29183,11753,579,553,-150,-701,569,3747477,-12201099,7400,29852,3929,8335,513
72528.35,92389,29187,11777,524,604,48,-897,568,3747503,-12200959,7391,29854,3270,8602,541
72529.35,92401,29207,11778,513,622,-191,-700,569,3747521,-12200820,7382,29873,2086,8752,578
72530.35,92395,29205,11779,502,629,-147,-839,569,3747535,-12200680,7375,29872,1061,8784,629
72531.35,92388,29193,11795,475,603,-97,-980,567,3747545,-12200540,7381,29861,463,8772,648
72532.35,92372,29191,11794,458,578,-104,-963,565,3747554,-12200403,7400,29860,139,8743,730
72533.35,92346,29175,11782,439,589,-63,-787,565,3747564,-12200264,7423,29847,26,8734,765
72534.35,92304,29172,11760,427,614,-75,-657,564,3747574,-12200125,7450,29848,36,8766,858
72535.35,92247,29177,11727,453,651,162,-879,568,3747583,-12199990,7482,29857,104,8792,974
72536.35,92195,29159,11724,456,637,458,-889,568,3747593,-12199853,7525,29844,250,8831,989
72537.35,92125,29102,11743,422,612,720,-766,565,3747603,-12199716,7581,29792,210,8827,961
72538.35,92042,29073,11764,393,580,160,-754,562,3747612,-12199578,7652,29770,4,8806,992
72539.35,91950,29075,11720,418,581,139,-822,564,3747620,-12199441,7738,29781,-61,8778,1007
72540.35,91863,29119,11643,479,616,-23,-652,568,3747628,-12199305,7823,29833,-11,8789,973
72541.35,91772,29159,11533,577,603,-254,-704,570,3747636,-12199169,7915,29883,25,8817,1017
72542.35,91684,29172,11478,618,547,-110,-708,570,3747645,-12199032,8015,29905,114,8769,967
72543.35,91600,29181,11440,646,506,-108,-532,568,3747653,-12198895,8121,29922,59,8781,973
72544.35,91518,29198,11449,634,407,63,-610,567,3747661,-12198759,8213,29947,-10,8745,958
72545.35,91445,29183,11412,669,377,42,-626,567,3747669,-12198625,8301,29938,133,8693,890
72546.35,91370,29167,11384,691,491,81,-691,572,3747677,-12198487,8384,29929,-155,8733,909
72547.35,91300,29168,11369,711,484,234,-731,571,3747685,-12198351,8464,29936,-43,8766,934
72548.35,91245,29163,11397,681,471,411,-661,570,3747694,-12198215,8539,29936,-14,8727,921
72549.35,91172,29162,11421,664,427,201,-575,566,3747702,-12198078,8612,29943,-94,8736,896
72550.35,91091,29161,11390,694,426,250,-769,567,3747710,-12197941,8683,29949,-28,8702,925
72551.35,91021,29157,11414,671,379,293,-651,565,3747718,-12197806,8751,29952,114,8694,939
72552.35,90946,29150,11405,677,385,431,-713,567,3747727,-12197670,8821,29951,86,8712,927
72553.35,90875,29153,11412,670,387,280,-636,566,3747735,-12197534,8891,29961,121,8702,933
72554.35,90795,29149,11437,638,426,179,-613,567,3747743,-12197396,8962,29965,87,8742,979
72555.35,90713,29138,11431,639,349,143,-583,563,3747751,-12197260,9036,29961,182,8738,993
72556.35,90633,29142,11412,638,301,-53,-618,564,3747759,-12197125,9110,29973,232,8720,994
72557.35,90550,29141,11396,636,299,-243,-671,564,3747766,-12196990,9187,29980,130,8726,998
72558.35,90459,29140,11374,639,268,-55,-639,561,3747773,-12196853,9266,29986,44,8734,1004
72559.35,90374,29134,11351,641,282,136,-635,561,3747780,-12196719,9345,29989,0,8703,989
72560.35,90297,29130,11341,634,280,127,-1006,561,3747787,-12196584,9423,29992,-33,8728,961
72561.35,90226,29129,11334,634,246,43,-884,561,3747793,-12196449,9500,29998,48,8708,928
72562.35,90152,29124,11316,641,274,54,-617,561,3747800,-12196314,9574,29999,45,8718,937
72563.35,90083,29123,11305,646,248,-36,-633,560,3747807,-12196180,9646,30005,22,8729,939
72564.35,90013,29119,11298,646,229,92,-824,564,3747814,-12196044,9715,30007,-113,8682,943
72565.35,89945,29126,11305,632,209,9,-706,560,3747821,-12195909,9782,30022,-94,8667,940
72566.35,89876,29121,11301,627,206,13,-781,559,3747827,-12195775,9846,30023,-14,8663,939
72567.35,89808,29112,11283,636,195,-61,-727,559,3747834,-12195640,9910,30020,105,8674,953
72568.35,89736,29109,11270,638,202,-163,-857,560,3747841,-12195506,9975,30024,58,8682,973
72569.35,89668,29114,11274,622,196,-230,-792,559,3747848,-12195373,10041,30035,141,8694,975
72570.35,89595,29118,11275,606,206,-361,-799,557,3747855,-12195239,10107,30046,89,8705,976
72571.35,89525,29132,11233,634,214,-504,-839,559,3747861,-12195105,10172,30068,128,8722,972
72572.35,89453,29177,11161,694,213,-445,-811,564,3747868,-12194970,10237,30121,42,8722,981
72573.35,89384,29199,11108,735,213,-515,-904,565,3747875,-12194836,10301,30151,154,8744,975
72574.35,89323,29216,11114,718,216,-434,-853,564,3747881,-12194703,10363,30174,51,8755,954
72575.35,89257,29245,11158,666,229,-399,-764,562,3747886,-12194570,10424,30210,24,8747,942
72576.35,89197,29280,11192,620,280,-329,-1032,559,3747892,-12194436,10483,30252,-41,8765,942
