"TIME_UTC","P","T","TAS","U","V","W","TEDR","REYN","G_LAT","G_LONG","G_ALT","POT","ROLL","HDG","PITCH "
"72937.750","100527","29652","11718","288","-472","-720","-674","557","3743026","-12205520","-155","29608","3741","35042","1240"
"72938.750","100415","29655","11766","284","-490","-501","-570","556","3743122","-12205563","-118","29620","4334","35623","1269"
"72939.750","100194","29653","11907","369","-604","-498","-620","567","3743224","-12205593","-39","29637","4337","178","1348"
"72940.750","100008","29689","11871","404","-564","-775","-578","564","3743325","-12205615","73","29689","4210","682","1484"
"72941.750","99829","29747","11841","478","-550","-1365","-752","566","3743428","-12205622","220","29762","4296","1165","1575"
"72942.750","99714","29754","11846","327","-581","13","-719","564","3743530","-12205615","428","29778","3815","1543","1560"
"72943.750","99545","29749","11850","230","-570","618","-734","559","3743631","-12205593","691","29788","2569","1736","1552"
"72944.750","99308","29733","11847","203","-542","174","-842","557","3743732","-12205565","949","29792","1233","1776","1620"
"72945.750","99070","29739","11781","193","-493","-79","-778","552","3743830","-12205530","1183","29819","363","1752","1644"
"72946.750","98823","29747","11655","232","-444","-351","-746","549","3743926","-12205490","1421","29848","6","1723","1634"
"72947.750","98595","29747","11553","212","-393","-294","-894","546","3744023","-12205448","1646","29867","45","1738","1588"
"72948.750","98389","29747","11484","192","-359","-169","-1020","540","3744118","-12205407","1868","29885","49","1779","1498"
"72949.750","98193","29766","11397","176","-292","-16","-907","532","3744212","-12205365","2087","29921","-17","1809","1469"
"72950.750","98013","29778","11307","183","-220","-9","-758","525","3744306","-12205322","2303","29949","-59","1846","1420"
"72951.750","97859","29775","11274","181","-196","21","-743","524","3744400","-12205278","2511","29960","17","1870","1353"
"72952.750","97704","29763","11248","205","-178","50","-870","524","3744494","-12205235","2702","29962","-27","1881","1299"
"72953.800","97558","29786","11261","152","-163","132","-791","513","3744587","-12205192","2892","29997","-121","1886","1261"
"72954.800","97434","29809","11271","98","-156","59","-772","506","3744682","-12205147","3071","30032","-163","1931","1220"
"72955.800","97311","29809","11248","79","-151","71","-788","504","3744776","-12205103","3235","30042","-157","1951","1178"
"72956.800","97200","29810","11235","79","-148","113","-843","502","3744869","-12205056","3410","30053","-174","1964","1084"
"72957.800","97106","29812","11222","66","-130","241","-804","493","3744964","-12205010","3586","30063","-131","1973","1010"
"72958.800","97009","29815","11206","65","-96","174","-727","485","3745057","-12204963","3760","30074","-105","1993","966"
"72959.800","96917","29814","11195","65","-65","225","-807","474","3745151","-12204918","3933","30082","-155","1992","966"
"72960.800","96842","29816","11221","45","-61","192","-789","470","3745245","-12204870","4105","30090","-182","2006","934"
"72961.800","96766","29824","11284","8","-86","72","-879","471","3745340","-12204823","4275","30105","-206","2013","932"
"72962.800","96712","29823","11359","-32","-125","233","-726","488","3745434","-12204776","4440","30109","-150","2031","895"
"72963.800","96645","29818","11419","-84","-138","271","-877","501","3745529","-12204728","4608","30111","-135","2061","884"
"72964.800","96590","29816","11468","-102","-147","188","-789","506","3745623","-12204682","4783","30113","-174","2083","851"
"72965.800","96534","29811","11524","-129","-163","92","-928","513","3745718","-12204634","4952","30113","-230","2079","850"
"72966.800","96481","29807","11555","-125","-157","59","-807","507","3745813","-12204586","5111","30114","-265","2090","835"
"72967.800","96433","29805","11613","-149","-189","80","-886","519","3745908","-12204538","5242","30116","-255","2076","802"
"72968.800","96393","29796","11647","-184","-211","125","-738","520","3746005","-12204490","5387","30111","-194","2105","742"
"72969.800","96360","29798","11677","-176","-227","158","-843","527","3746100","-12204444","5532","30115","-177","2110","667"
"72970.800","96329","29792","11688","-195","-206","173","-603","525","3746196","-12204397","5670","30112","-201","2111","650"
"72971.800","96313","29796","11727","-187","-220","122","-818","526","3746292","-12204350","5804","30118","-161","2108","625"
"72972.800","96299","29796","11765","-182","-230","178","-822","526","3746388","-12204303","5936","30119","-163","2117","612"
"72973.800","96287","29791","11790","-190","-220","168","-663","524","3746484","-12204254","6065","30115","-187","2121","626"
"72974.800","96276","29791","11815","-191","-217","163","-1001","522","3746582","-12204207","6188","30116","-238","2124","643"
"72975.800","96274","29790","11850","-180","-228","191","-694","526","3746678","-12204158","6307","30115","-149","2119","633"
"72976.800","96272","29790","11916","-220","-256","160","-670","532","3746776","-12204110","6422","30115","-68","2137","623"
"72977.800","96260","29783","11922","-205","-237","145","-669","530","3746872","-12204062","6531","30109","14","2176","619"
"72978.800","96253","29780","11946","-192","-238","219","-832","526","3746970","-12204013","6635","30107","630","2222","611"
"72979.800","96244","29776","11981","-206","-245","378","-811","527","3747068","-12203965","6725","30104","1055","2377","616"
"72980.800","96238","29771","12011","-238","-233","482","-813","529","3747165","-12203914","6823","30099","1192","2514","596"
"72981.800","96234","29775","12044","-273","-224","547","-779","531","3747263","-12203865","6765","30103","1074","2636","589"
"72982.800","96226","29779","12103","-317","-233","394","-732","538","3747360","-12203813","6718","30108","405","2702","590"
"72983.800","96217","29766","12124","-305","-242","209","-575","538","3747456","-12203759","6639","30096","90","2692","590"
"72984.800","96209","29758","12109","-274","-237","134","-764","535","3747551","-12203699","6661","30088","9","2666","597"
"72985.800","96187","29757","12114","-267","-238","126","-719","529","3747647","-12203643","6681","30089","-64","2688","643"
"72986.800","96183","29761","12128","-270","-247","141","-716","535","3747742","-12203582","6705","30094","-99","2684","643"
"72987.800","96163","29748","12118","-261","-233","119","-686","534","3747837","-12203524","6668","30083","-86","2698","687"
"72988.800","96147","29768","12155","-301","-237","161","-850","536","3747933","-12203468","6623","30104","-148","2708","706"
"72989.800","96122","29793","12224","-350","-273","115","-693","545","3748028","-12203408","6553","30132","-178","2735","724"
"72990.800","96097","29826","12256","-367","-290","107","-718","546","3748124","-12203350","6516","30167","-134","2730","721"
"72991.800","96061","29852","12267","-380","-288","49","-901","547","3748219","-12203291","6480","30197","-100","2743","736"
"72992.800","96020","29853","12267","-356","-297","137","-682","544","3748314","-12203231","6493","30202","-121","2757","761"
"72993.800","95981","29856","12276","-374","-287","89","-983","545","3748410","-12203173","6519","30208","-111","2758","772"
"72994.800","95941","29852","12308","-366","-303","4","-736","546","3748505","-12203112","6540","30207","-54","2777","762"
"72995.800","95901","29848","12337","-359","-319","-104","-801","546","3748601","-12203054","6560","30207","-13","2784","753"
"72996.800","95861","29847","12365","-371","-321","-96","-843","548","3748697","-12202993","6580","30209","82","2807","715"
"72997.800","95820","29847","12383","-371","-316","-27","-707","547","3748792","-12202932","6605","30213","10","2826","711"
"72998.800","95784","29849","12419","-393","-315","-8","-802","548","3748887","-12202870","6625","30219","-33","2847","696"
"72999.800","95752","29859","12440","-410","-301","27","-778","549","3748983","-12202809","6644","30232","-72","2862","690"
"73000.800","95721","29865","12453","-398","-290","91","-733","547","3749078","-12202748","6661","30241","-57","2878","680"
"73001.800","95697","29860","12481","-403","-288","154","-710","547","3749174","-12202684","6676","30238","-26","2881","661"
"73002.800","95652","29874","12466","-368","-260","52","-760","542","3749270","-12202623","6690","30256","-69","2903","739"
"73003.800","95605","29882","12470","-364","-257","-17","-825","544","3749366","-12202558","6703","30269","-15","2909","794"
"73004.800","95559","29887","12495","-391","-269","-45","-1033","545","3749462","-12202494","6717","30278","-45","2938","824"
"73005.800","95508","29895","12518","-405","-290","-90","-827","548","3749558","-12202430","6731","30290","-95","2935","836"
"73006.800","95451","29908","12523","-392","-310","-50","-944","547","3749653","-12202366","6746","30309","-143","2932","851"
"73007.800","95385","29913","12542","-394","-342","-140","-898","549","3749749","-12202303","6760","30320","-63","2930","853"
"73008.800","95311","29916","12541","-395","-352","-157","-707","551","3749845","-12202238","6774","30330","-66","2958","868"
"73009.800","95236","29918","12538","-403","-358","-129","-796","551","3749941","-12202174","6788","30338","-104","2956","880"
"73010.800","95156","29915","12516","-389","-358","6","-907","550","3750036","-12202109","6802","30343","-143","2960","882"
"73011.800","95082","29917","12506","-380","-366","48","-918","550","3750131","-12202044","6815","30351","-83","2948","876"
"73012.800","95009","29924","12534","-397","-404","3","-681","553","3750226","-12201979","6829","30364","-68","2936","866"
"73013.800","94934","29919","12538","-388","-427","67","-768","554","3750320","-12201915","6842","30366","-61","2943","851"
"73014.800","94861","29919","12535","-406","-424","-3","-934","554","3750415","-12201850","6854","30373","-91","2943","845"
"73015.800","94791","29926","12524","-404","-421","-190","-859","554","3750509","-12201786","6865","30387","-52","2963","852"
"73016.800","94726","29928","12507","-387","-422","-218","-840","553","3750603","-12201722","6876","30395","11","2975","856"
"73017.800","94658","29930","12498","-382","-427","-119","-703","554","3750698","-12201656","6886","30403","-32","2980","849"
"73018.800","94592","29924","12500","-386","-435","-63","-732","553","3750792","-12201593","6894","30403","1","2975","840"
"73019.800","94527","29927","12494","-397","-432","-54","-760","554","3750885","-12201525","6900","30412","-16","2979","834"
"73020.800","94461","29927","12480","-395","-423","-31","-747","554","3750979","-12201459","6904","30418","-56","2998","835"
"73021.800","94397","29921","12491","-414","-432","-132","-855","555","3751072","-12201395","6907","30418","-26","2996","827"
"73022.800","94333","29921","12474","-412","-417","-233","-772","554","3751165","-12201329","6906","30424","10","3017","835"
"73023.800","94266","29920","12476","-413","-404","-291","-870","554","3751259","-12201265","6903","30429","-73","3022","889"
"73024.800","94195","29924","12487","-400","-419","-202","-693","553","3751352","-12201199","6896","30440","-104","3014","904"
"73025.800","94122","29934","12519","-392","-460","-126","-841","556","3751445","-12201133","6886","30457","-44","3020","918"
"73026.800","94038","29946","12540","-395","-485","-20","-1162","556","3751538","-12201065","6870","30476","56","3028","920"
"73027.800","93956","29948","12503","-368","-462","-8","-907","555","3751632","-12201000","6845","30487","31","3032","916"
"73028.800","93871","29950","12482","-355","-448","-29","-803","553","3751724","-12200936","6807","30496","21","3033","923"
"73029.800","93788","29948","12489","-362","-455","-27","-749","555","3751817","-12200872","6695","30502","62","3049","914"
"73030.800","93703","29936","12474","-379","-428","-370","-860","551","3751910","-12200810","6371","30497","75","3074","930"
"73031.800","93616","29921","12475","-391","-427","-478","-867","554","3752003","-12200743","6362","30490","50","3104","940"
"73032.800","93540","29918","12479","-391","-438","-412","-749","554","3752095","-12200674","6392","30494","106","3112","924"
"73033.800","93460","29920","12465","-379","-433","-461","-586","552","3752187","-12200608","6435","30504","65","3138","922"
"73034.800","93379","29907","12494","-378","-469","-326","-700","555","3752279","-12200537","6488","30498","52","3140","916"
"73035.800","93301","29909","12475","-360","-461","-339","-781","553","3752370","-12200468","6550","30507","-122","3125","899"
"73036.800","93221","29913","12433","-316","-444","-212","-648","553","3752461","-12200399","6622","30519","-162","3116","912"
