"TIME_UTC","P","T","TAS","U","V","W","TEDR","REYN","G_LAT","G_LONG","G_ALT","POT","ROLL","HDG","PITCH "
"69470.000","99635","29102","11337","-123","-59","849","-509","506","3743147","-12205645","371","29132","5462","2365","1457"
"69471.000","99353","29073","11351","-194","-72","1225","-811","514","3743248","-12205612","529","29127","5365","3177","1616"
"69472.000","99185","29065","11274","-112","-67","1353","-672","486","3743343","-12205560","745","29133","5333","3950","1753"
"69473.000","98914","29046","11217","-73","-72","679","-506","483","3743431","-12205496","928","29136","5322","4733","1950"
"69474.000","98754","29025","11100","-55","-50","838","-579","478","3743511","-12205419","1102","29129","5295","5487","2084"
"69475.000","98719","29009","10948","4","4","932","550","413","3743578","-12205328","1291","29116","5290","6115","2108"
"69476.000","98669","28995","10759","173","-33","615","-619","498","3743635","-12205227","1524","29106","5207","6657","2092"
"69477.000","98739","28977","10686","149","36","1482","-568","511","3743680","-12205118","1857","29082","4473","6944","1920"
"69478.000","98538","28954","10617","216","19","1154","-712","518","3743718","-12205004","2160","29076","1693","7065","1908"
"69479.000","98282","28921","10662","122","-69","553","-615","475","3743752","-12204889","2453","29065","226","6848","1691"
"69480.000","97917","28894","10696","22","-107","390","-665","481","3743785","-12204776","2706","29068","140","6779","1725"
"69481.000","97645","28885","10685","30","-143","338","-592","491","3743819","-12204663","2938","29082","235","6766","1709"
"69482.000","97411","28876","10841","-137","-203","231","-860","523","3743854","-12204552","3146","29093","156","6799","1638"
"69483.000","97172","28871","10866","-180","-237","227","-539","528","3743887","-12204442","3326","29108","236","6824","1584"
"69484.000","96936","28898","10977","-322","-262","319","-651","547","3743920","-12204332","3478","29156","160","6828","1606"
"69485.000","96723","28904","11059","-409","-317","83","-595","552","3743952","-12204223","3642","29180","640","6898","1566"
"69486.050","96527","28909","11068","-434","-369","342","-875","556","3743985","-12204113","3805","29203","3335","7274","1499"
"69487.050","96351","28918","11012","-429","-338","790","-870","554","3744015","-12204002","3962","29226","3881","7730","1374"
"69488.050","96180","28912","10925","-398","-251","1050","-799","549","3744040","-12203887","4107","29235","3717","8110","1315"
"69489.050","96053","28908","10881","-371","-218","1278","-871","544","3744059","-12203772","4245","29242","3203","8354","1251"
"69490.050","95959","28900","10851","-324","-292","750","-527","545","3744073","-12203656","4364","29243","2026","8496","1205"
"69491.050","95806","28891","10848","-306","-251","505","-586","540","3744083","-12203539","4475","29247","518","8493","1238"
"69492.050","95642","28884","10853","-314","-137","573","-754","537","3744090","-12203419","4587","29254","236","8417","1265"
"69493.050","95528","28901","10807","-266","-91","343","-901","527","3744097","-12203302","4695","29281","88","8449","1264"
"69494.050","95394","28919","10769","-226","-5","354","-828","520","3744103","-12203183","4804","29311","46","8487","1277"
"69495.050","95280","28924","10751","-207","40","413","-712","516","3744109","-12203065","4913","29326","25","8525","1265"
"69496.050","95155","28925","10737","-186","82","523","-746","512","3744116","-12202945","5021","29338","16","8549","1250"
"69497.050","95041","28940","10725","-166","117","341","-770","513","3744123","-12202829","5129","29364","-16","8573","1248"
"69498.050","94933","28945","10713","-142","114","554","-833","502","3744129","-12202710","5235","29378","113","8606","1221"
"69499.050","94831","28949","10701","-118","170","217","-852","511","3744135","-12202590","5340","29391","-278","8594","1212"
"69500.050","94718","28949","10708","-107","209","74","-839","517","3744142","-12202472","5442","29402","-676","8576","1201"
"69501.050","94614","28945","10714","-96","218","156","-919","518","3744149","-12202353","5541","29406","-588","8500","1176"
"69502.050","94510","28938","10723","-86","226","62","-905","519","3744156","-12202233","5632","29409","-647","8454","1167"
"69503.050","94409","28935","10757","-97","207","33","-799","516","3744165","-12202114","5721","29415","-471","8416","1166"
"69504.050","94312","28931","10800","-119","163","80","-801","507","3744174","-12201994","5803","29419","-238","8396","1156"
"69505.050","94223","28923","10813","-116","168","117","-715","513","3744183","-12201873","5882","29418","-225","8382","1164"
"69506.050","94131","28923","10832","-114","152","21","-965","507","3744194","-12201754","5964","29428","-232","8381","1162"
"69507.050","94026","28919","10859","-120","112","16","-739","504","3744204","-12201633","6047","29433","-111","8351","1183"
"69508.050","93924","28917","10861","-111","99","109","-828","497","3744215","-12201513","6130","29439","-160","8347","1205"
"69509.050","93853","28914","10908","-145","80","147","-742","507","3744225","-12201393","6216","29442","-133","8336","1149"
"69510.050","93766","28908","10922","-149","60","113","-624","498","3744236","-12201273","6302","29445","-38","8320","1121"
"69511.050","93672","28909","10931","-145","72","106","-760","503","3744246","-12201152","6386","29454","-133","8335","1103"
"69512.050","93591","28912","10970","-166","59","113","-1105","503","3744257","-12201030","6468","29464","-153","8322","1079"
"69513.050","93496","28913","10974","-161","79","-1","-844","505","3744268","-12200910","6548","29474","-135","8308","1078"
"69514.050","93416","28912","10955","-131","104","21","-873","501","3744279","-12200788","6625","29480","-66","8325","1068"
"69515.050","93335","28916","10951","-114","114","197","-749","503","3744290","-12200667","6699","29491","12","8341","1056"
"69516.050","93265","28920","10970","-111","81","117","-862","487","3744301","-12200545","6769","29502","20","8337","1039"
"69517.050","93193","28920","10998","-118","64","5","-721","490","3744312","-12200424","6835","29508","-36","8334","1036"
"69518.050","93122","28923","11015","-115","51","4","-647","489","3744323","-12200301","6901","29518","19","8325","1023"
"69519.050","93059","28923","11052","-127","12","21","-888","497","3744334","-12200180","6964","29524","-68","8321","1006"
"69520.050","93004","28915","11070","-132","6","-135","-813","497","3744344","-12200056","7022","29520","-90","8302","976"
"69521.050","92942","28910","11041","-92","25","-49","-694","467","3744355","-12199934","7077","29521","14","8319","952"
"69522.050","92880","28923","11073","-104","5","237","-736","483","3744366","-12199810","7128","29540","168","8351","937"
"69523.050","92828","28936","11070","-79","-7","87","-961","468","3744376","-12199688","7179","29557","148","8349","929"
"69524.050","92780","28939","11064","-53","14","181","-747","448","3744386","-12199565","7226","29566","89","8368","914"
"69525.050","92741","28944","11068","-32","26","26","-839","438","3744396","-12199440","7270","29574","82","8397","890"
"69526.050","92695","28939","11087","-23","24","76","625","425","3744406","-12199316","7310","29573","90","8401","874"
"69527.050","92659","28940","11120","-28","28","29","614","417","3744416","-12199193","7346","29577","39","8412","850"
"69528.050","92593","28936","11102","11","58","-110","-689","474","3744425","-12199066","7378","29579","-173","8404","928"
"69529.050","92552","28934","11119","43","14","-409","-798","443","3744435","-12198941","7414","29581","-1487","8278","1005"
"69530.050","92501","28944","11171","25","58","-800","-601","445","3744445","-12198818","7455","29596","-2483","7972","966"
"69531.050","92421","28939","11191","29","63","-1032","-715","459","3744458","-12198691","7497","29598","-3300","7608","939"
"69532.050","92350","28942","11234","9","73","-1236","-736","460","3744476","-12198568","7534","29608","-3792","7222","873"
"69533.050","92258","28964","11317","-49","59","-1082","-969","454","3744500","-12198443","7563","29639","-3953","6802","850"
"69534.050","92210","28980","11369","-86","70","-1135","-733","480","3744530","-12198321","7600","29660","-3894","6443","840"
"69535.050","92258","28990","11421","-83","22","-722","-633","486","3744565","-12198201","7630","29666","-1512","6379","747"
"69536.050","92259","28995","11435","-64","9","43","-650","456","3744605","-12198084","7652","29670","371","6516","888"
"69537.050","92251","28997","11468","-91","110","-31","-734","491","3744646","-12197966","7676","29672","-259","6653","842"
"69538.050","92199","28994","11525","-101","110","-143","-699","500","3744688","-12197849","7697","29674","-104","6582","872"
"69539.050","92137","28992","11559","-124","153","-226","-811","505","3744730","-12197731","7719","29679","-170","6579","926"
"69540.050","92105","28989","11592","-97","87","-155","-844","490","3744772","-12197611","7733","29679","-117","6582","929"
"69541.050","92065","28984","11631","-106","69","-77","-747","484","3744815","-12197495","7743","29677","-272","6547","928"
"69542.050","92010","28981","11654","-111","95","-40","-645","498","3744858","-12197378","7760","29679","-223","6538","917"
"69543.050","91952","28974","11672","-106","99","-42","-667","499","3744901","-12197259","7790","29677","-209","6528","931"
"69544.050","91907","28970","11694","-85","64","-38","-771","482","3744945","-12197140","7831","29677","-226","6514","918"
"69545.050","91848","28966","11717","-74","45","-65","-853","471","3744989","-12197021","7883","29678","-127","6498","915"
"69546.050","91795","28961","11738","-66","35","-51","-832","477","3745034","-12196900","7939","29678","-73","6500","919"
"69547.050","91750","28962","11747","-39","13","54","-739","449","3745079","-12196781","8001","29683","-140","6496","909"
"69548.050","91690","28962","11765","-38","34","36","-806","445","3745124","-12196662","8067","29689","-237","6476","905"
"69549.050","91632","28959","11793","-38","28","-16","-784","451","3745170","-12196541","8136","29692","-187","6460","900"
"69550.050","91583","28956","11843","-54","5","-45","-753","450","3745215","-12196420","8207","29693","-82","6468","886"
"69551.050","91515","28955","11850","-53","51","-54","-733","474","3745261","-12196300","8269","29698","2","6482","901"
"69552.050","91458","28954","11871","-48","48","-61","-700","443","3745307","-12196180","8332","29702","-27","6484","908"
"69553.050","91402","28951","11914","-57","21","-107","-812","448","3745354","-12196058","8401","29704","-134","6468","913"
"69554.050","91337","28959","11942","-63","14","-64","-875","464","3745400","-12195935","8475","29719","-92","6451","921"
"69555.050","91273","28971","11941","-51","32","-142","-815","460","3745446","-12195815","8545","29737","-41","6462","936"
"69556.050","91197","28971","11956","-52","26","-78","-732","470","3745493","-12195694","8615","29744","-13","6473","952"
"69557.050","91145","28965","11987","-57","-36","40","-777","457","3745540","-12195570","8684","29743","-5","6467","912"
"69558.050","91077","28960","11981","-53","-21","141","-835","459","3745586","-12195450","8756","29744","-109","6463","915"
"69559.050","91018","28952","12005","-55","-51","120","-675","474","3745633","-12195329","8827","29742","-73","6455","884"
"69560.050","90955","28948","12012","-49","-61","190","-828","467","3745680","-12195205","8895","29743","-144","6438","878"
"69561.050","90901","28948","12046","-60","-86","115","-914","483","3745726","-12195085","8959","29748","-204","6421","855"
"69562.050","90842","28947","12075","-69","-102","-17","-759","489","3745773","-12194963","9021","29752","-244","6390","846"
