R0: PRELIMINARY DATA                                                                                                                                                                                    ,,,,,,,,,,,,,,,
TIME_UTC, P, T, TAS, U, V, W, TEDR, REYN, G_LAT, G_LONG, G_ALT, POT, ROLL, HDG, PITCH                                                                                                                   
70319.85,94066,28132,11532,184,-458,-158,-629,550,3731809,-12199385,6686,28628,103,15320,927
70320.85,93992,28128,11516,277,-408,-307,-611,556,3731713,-12199323,6743,28630,141,15318,884
70321.85,93937,28112,11638,196,-301,-313,-628,539,3731616,-12199261,6800,28619,145,15402,918
70322.85,93877,28102,11694,91,-275,-162,-598,526,3731521,-12199200,6856,28614,233,15374,918
70323.85,93797,28101,11643,150,-284,-22,-683,535,3731424,-12199139,6913,28619,237,15407,921
70324.85,93728,28098,11582,137,-346,-254,-558,540,3731328,-12199079,6972,28622,349,15394,942
70325.85,93658,28105,11570,173,-317,17,-714,538,3731232,-12199018,7032,28636,211,15450,942
70326.85,93581,28087,11578,205,-279,241,-636,540,3731136,-12198958,7094,28624,100,15489,943
70327.85,93503,28065,11608,220,-221,-557,-522,534,3731039,-12198899,7158,28608,47,15484,986
70328.85,93422,28075,11490,156,-358,615,-699,539,3730943,-12198841,7223,28626,143,15504,981
70329.85,93351,28060,11546,69,-319,296,-587,524,3730847,-12198783,7289,28617,331,15417,945
70330.85,93287,28047,11650,-43,-234,-10,-415,500,3730751,-12198723,7356,28609,293,15477,963
70331.85,93200,28035,11633,-88,-252,1130,-514,531,3730655,-12198665,7425,28605,227,15454,933
70332.85,93109,28027,11527,-8,-314,1001,-639,538,3730559,-12198609,7496,28604,189,15443,922
70333.85,93025,28024,11442,173,-314,529,-639,540,3730462,-12198553,7570,28609,100,15518,912
70334.85,92949,28025,11435,219,-297,-1123,-536,534,3730367,-12198496,7642,28617,134,15569,987
70335.9,92877,28029,11364,162,-374,-879,-742,542,3730270,-12198439,7713,28627,138,15577,1008
70336.9,92796,28017,11315,328,-326,-297,-577,542,3730174,-12198384,7782,28621,-140,15580,969
70337.9,92726,28022,11307,293,-343,-216,-629,540,3730077,-12198329,7850,28633,-161,15601,957
70338.9,92663,28016,11338,254,-312,-787,-642,545,3729982,-12198274,7915,28632,-41,15544,975
70339.9,92593,28013,11283,323,-321,-377,-501,546,3729886,-12198218,7976,28635,-36,15592,977
70340.9,92528,28010,11294,326,-297,-260,-749,545,3729790,-12198161,8035,28638,-35,15598,953
70341.9,92456,27990,11188,320,-403,-349,-715,548,3729695,-12198107,8092,28625,44,15567,975
70342.9,92389,28012,11164,352,-404,-934,-558,551,3729600,-12198051,8149,28653,24,15596,990
70343.9,92324,28032,11134,371,-408,-492,-611,554,3729504,-12197995,8204,28679,-90,15609,1005
70344.9,92260,28017,11118,376,-414,-513,-668,556,3729410,-12197939,8260,28670,-114,15601,1001
70345.9,92202,28006,11126,367,-458,-831,-722,559,3729314,-12197885,8317,28663,-63,15582,1060
70346.9,92137,27989,11267,346,-453,-795,-740,556,3729220,-12197827,8376,28652,-160,15581,1117
70347.9,92060,27978,11522,330,-358,-1136,-540,549,3729125,-12197771,8437,28647,-112,15553,1066
70348.9,91982,27960,11666,304,-374,-1265,-652,551,3729028,-12197715,8503,28636,-43,15540,1086
70349.9,91891,27969,11763,263,-442,-1612,-519,550,3728932,-12197656,8578,28653,-31,15529,1160
70350.9,91777,27992,11877,298,-424,-1404,-662,553,3728833,-12197599,8668,28687,-116,15527,1274
70351.9,91642,27980,11974,333,-404,-745,-728,554,3728733,-12197539,8766,28687,-156,15543,1340
70352.9,91494,27968,12064,313,-412,-713,-707,553,3728633,-12197479,8878,28687,-86,15530,1373
70353.9,91323,27946,12177,339,-359,-680,-722,550,3728532,-12197418,9008,28680,-78,15522,1411
70354.9,91132,27930,12241,341,-365,-615,-649,552,3728431,-12197355,9159,28680,-234,15496,1439
70355.9,90915,27912,12302,434,-322,-652,-745,554,3728329,-12197293,9318,28682,-142,15482,1454
70356.9,90708,27896,12378,517,-269,-764,-546,558,3728228,-12197231,9497,28684,-21,15481,1413
70357.9,90519,27883,12423,391,-343,-848,-822,552,3728125,-12197169,9689,28688,28,15485,1460
70358.9,90308,27867,12502,434,-297,-1013,-701,554,3728022,-12197106,9888,28691,-3,15488,1473
