R0: PRELIMINARY DATA                                                                                                                                                                                    ,,,,,,,,,,,,,,,
TIME_UTC, P, T, TAS, U, V, W, TEDR, REYN, G_LAT, G_LONG, G_ALT, POT, ROLL, HDG, PITCH                                                                                                                   
65257.6,100297,28439,11200,385,6,-252,-790,543,3743288,-12205399,731,28415,7141,5016,1636
65258.6,100147,28432,11022,472,-43,-701,-530,552,3743375,-12205329,947,28421,7419,6181,1548
65259.6,99866,28398,10929,426,-33,-55,-657,545,3743445,-12205237,1176,28409,7671,7529,1385
65260.6,99640,28387,10779,458,10,340,-688,550,3743499,-12205127,1394,28416,7787,8815,1125
65261.6,100228,28374,10989,281,-100,210,-427,540,3743534,-12205007,1572,28356,5384,9184,857
65262.6,100225,28365,11113,297,-181,-159,-508,546,3743548,-12204874,1697,28347,119,8931,1333
65263.6,99995,28361,11045,327,-344,-969,-657,550,3743541,-12204733,1773,28362,785,8750,1450
65264.6,99766,28347,10976,310,-345,-1656,-642,550,3743532,-12204599,1919,28366,927,8991,1837
65265.6,99595,28322,10960,212,-273,-1535,-642,534,3743531,-12204472,2057,28355,1442,9147,1774
65266.6,99408,28303,10855,201,-212,-1041,-582,535,3743529,-12204348,2202,28351,1579,9310,1745
65267.6,99167,28280,10746,220,-148,-925,-810,525,3743528,-12204224,2362,28347,1725,9447,1686
65268.6,98964,28269,10651,228,-79,-580,-834,528,3743524,-12204102,2544,28353,1816,9636,1596
65269.6,98763,28267,10553,255,-107,-452,-791,533,3743515,-12203981,2754,28368,1771,9815,1517
65270.6,98587,28262,10462,279,-162,-257,-700,535,3743503,-12203862,2951,28378,1887,9962,1466
65271.6,98427,28262,10462,191,-206,130,-731,529,3743489,-12203743,3132,28391,1816,10111,1382
65272.6,98298,28249,10414,173,-215,-191,-733,526,3743472,-12203624,3302,28388,1080,10171,1297
65273.65,98161,28250,10305,214,-298,191,-691,542,3743454,-12203508,3457,28400,663,10186,1271
65274.65,98019,28239,10223,252,-293,-56,-712,542,3743434,-12203392,3590,28401,944,10235,1276
65275.65,97892,28239,10201,219,-367,224,-711,548,3743412,-12203276,3704,28412,1155,10380,1221
65276.65,97787,28234,10303,131,-364,152,-670,542,3743389,-12203163,3803,28415,1150,10443,1159
65277.65,97678,28198,10243,225,-330,393,-511,550,3743365,-12203049,3902,28388,987,10578,1143
65278.65,97589,28210,10272,251,-284,364,-541,544,3743339,-12202935,3998,28407,534,10672,1050
65279.65,97500,28254,10443,97,-391,-351,-614,546,3743311,-12202823,4090,28459,297,10671,1049
65280.65,97411,28235,10583,-21,-427,-113,-692,538,3743282,-12202708,4179,28447,293,10565,1001
65281.65,97324,28229,10582,36,-400,-375,-660,544,3743252,-12202594,4260,28449,209,10640,963
65282.65,97251,28213,10684,-29,-442,-46,-550,556,3743222,-12202478,4333,28439,603,10715,923
65283.65,97170,28212,10629,83,-427,555,-591,548,3743191,-12202362,4397,28444,272,10768,921
65284.65,97088,28230,10668,77,-526,109,-624,554,3743159,-12202248,4455,28470,218,10800,969
65285.65,97015,28215,10729,49,-547,-14,-622,553,3743126,-12202133,4518,28461,42,10733,991
65286.65,96930,28222,10942,-114,-481,187,-686,554,3743092,-12202018,4580,28474,-555,10752,1020
65287.65,96836,28234,10977,-150,-616,159,-590,560,3743059,-12201900,4646,28495,-581,10613,1050
65288.65,96732,28213,10986,-135,-568,-209,-513,556,3743025,-12201784,4718,28482,-592,10552,1103
65289.65,96624,28205,10945,-70,-449,-305,-619,548,3742992,-12201667,4799,28483,-501,10624,1091
65290.65,96506,28202,10972,-141,-527,-149,-527,553,3742960,-12201549,4890,28490,-332,10570,1169
65291.65,96379,28207,11002,-200,-514,-126,-605,558,3742928,-12201432,4989,28505,-383,10552,1206
65292.65,96227,28208,10958,-194,-539,-334,-563,559,3742898,-12201314,5094,28519,-798,10479,1293
65293.65,96088,28190,10985,-276,-566,-394,-615,562,3742868,-12201199,5205,28514,-719,10367,1274
65294.65,95930,28182,10969,-315,-588,-834,-625,563,3742838,-12201079,5325,28518,-811,10289,1359
65295.65,95794,28162,11033,-426,-571,-1529,-679,569,3742810,-12200964,5455,28510,-260,10270,1323
65296.65,95646,28150,10951,-403,-622,-2309,-522,574,3742783,-12200849,5594,28511,-196,10246,1330
65297.65,95485,28147,10755,-271,-657,-1875,-671,569,3742756,-12200734,5726,28521,-136,10258,1347
65298.65,95353,28126,10666,-261,-740,-755,-783,570,3742729,-12200619,5855,28511,46,10264,1297
65299.65,95221,28110,10661,-288,-717,-1208,-624,573,3742701,-12200505,5981,28506,-211,10235,1283
65300.65,95082,28118,10659,-324,-690,-972,-641,571,3742675,-12200392,6103,28526,-256,10260,1282
65301.65,94947,28093,10566,-265,-684,-1029,-636,569,3742648,-12200279,6222,28512,15,10260,1294
65302.65,94808,28087,10438,-170,-610,7,-559,557,3742621,-12200165,6338,28518,-235,10319,1229
65303.65,94705,28099,10595,-359,-717,-1273,-575,573,3742593,-12200054,6453,28540,91,10341,1221
65304.65,94592,28073,10612,-401,-649,-833,-642,570,3742566,-12199943,6563,28523,-25,10235,1135
65305.65,94482,28077,10473,-252,-581,-1227,-718,562,3742540,-12199829,6670,28536,-560,10315,1136
65306.65,94385,28080,10468,-276,-707,-1464,-611,571,3742512,-12199718,6770,28547,-166,10284,1113
65307.65,94298,28061,10510,-335,-688,-238,-628,571,3742485,-12199607,6866,28536,-66,10225,1057
65308.65,94215,28052,10572,-358,-555,-608,-752,564,3742458,-12199496,6952,28534,-372,10302,1010
65309.65,94132,28043,10603,-373,-679,-968,-706,571,3742430,-12199385,7029,28532,98,10323,1070
65310.65,94049,28032,10557,-273,-642,-919,-627,567,3742404,-12199272,7099,28528,70,10315,1114
65311.65,93950,28030,10577,-226,-592,293,-652,560,3742377,-12199161,7165,28534,-15,10441,1077
65312.65,93865,28017,10701,-293,-698,769,-568,569,3742349,-12199048,7240,28529,189,10411,1077
65313.65,93765,28004,10759,-260,-694,545,-621,568,3742321,-12198934,7318,28524,-14,10453,1134
65314.65,93645,27991,10799,-207,-701,422,-637,568,3742293,-12198820,7402,28521,53,10458,1188
65315.65,93515,27988,10843,-150,-687,206,-627,570,3742264,-12198704,7492,28529,-38,10494,1258
65316.65,93381,27965,11024,-227,-681,591,-643,569,3742235,-12198586,7590,28518,45,10513,1267
65317.65,93232,27967,11094,-163,-601,1574,-597,563,3742206,-12198469,7702,28533,-152,10553,1268
65318.65,93060,27955,11306,-256,-660,779,-511,567,3742175,-12198351,7827,28535,14,10550,1395
65319.65,92859,27932,11542,-425,-762,1155,-758,575,3742144,-12198231,7974,28529,4,10538,1494
65320.65,92651,27924,11609,-388,-709,391,-642,574,3742114,-12198111,8146,28540,3,10534,1637
65321.65,92385,27912,11623,-370,-741,852,-874,575,3742082,-12197988,8350,28551,-184,10591,1756
65322.65,92124,27886,11654,-332,-704,-264,-544,571,3742049,-12197866,8578,28547,-414,10485,1825
65323.65,91828,27854,11617,-269,-790,-1788,-859,575,3742016,-12197746,8827,28541,-579,10424,1980
65324.65,91524,27827,11601,-268,-885,-2490,-628,577,3741984,-12197628,9095,28541,-590,10322,2042
65325.65,91199,27816,11573,-285,-942,-2525,-799,580,3741953,-12197505,9378,28558,-294,10305,2174
65326.65,90872,27785,11521,-270,-862,-1870,-749,574,3741923,-12197386,9672,28555,-462,10298,2155
65327.65,90530,27764,11400,-207,-955,-1779,-647,583,3741893,-12197267,9979,28565,-240,10236,2204
65328.65,90188,27733,11355,-234,-984,-1246,-579,582,3741863,-12197149,10295,28563,-351,10232,2246
65329.65,89835,27695,11332,-275,-1064,-1502,-705,586,3741834,-12197032,10617,28557,-274,10190,2333
65330.65,89469,27683,11334,-342,-1067,-1909,-522,587,3741805,-12196914,10946,28577,-87,10208,2406
65331.65,89096,27669,11311,-412,-1110,-1758,-696,591,3741776,-12196800,11283,28597,-206,10174,2451
65332.65,88719,27610,11257,-435,-1061,-1891,-553,589,3741748,-12196685,11630,28570,-196,10087,2433
65333.65,88334,27589,11090,-353,-973,-943,-688,582,3741719,-12196571,11986,28584,-20,10200,2340
65334.65,87977,27567,11080,-419,-1101,-1411,-574,588,3741691,-12196461,12340,28594,-64,10166,2293
65335.65,87617,27533,11063,-462,-1105,-1396,-642,587,3741663,-12196349,12684,28592,151,10081,2171
65336.65,87305,27491,10886,-315,-1045,-1251,-601,586,3741634,-12196238,13020,28579,55,10198,2166
65337.65,86993,27539,10868,-330,-1182,-2097,-607,589,3741604,-12196128,13347,28658,45,10225,2192
65338.65,86685,27614,10820,-341,-1234,-1946,-565,590,3741573,-12196016,13660,28765,34,10106,2180
65339.65,86381,27583,10779,-301,-1162,-2837,-694,587,3741544,-12195906,13961,28761,-219,10152,2180
65340.65,86095,27596,10735,-288,-1117,-2765,-651,583,3741514,-12195796,14247,28802,-15,10204,2161
65341.65,85805,27593,10675,-261,-1019,-1840,-566,584,3741484,-12195685,14519,28826,45,10275,2081
65342.65,85543,27595,10578,-166,-952,-1744,-615,579,3741454,-12195574,14780,28854,-204,10318,2035
65343.65,85287,27572,10635,-234,-968,-1892,-764,578,3741424,-12195464,15032,28855,127,10347,1962
65344.65,85040,27562,10574,-177,-939,-1512,-702,578,3741394,-12195353,15276,28868,90,10358,1913
65345.65,84803,27541,10532,-123,-912,-1240,-602,575,3741364,-12195244,15512,28869,-34,10434,1884
65346.65,84559,27529,10516,-102,-955,-1052,-677,576,3741333,-12195131,15737,28880,-85,10418,1840
65347.65,84330,27510,10494,-65,-940,-720,-644,576,3741301,-12195023,15949,28883,134,10418,1820
65348.65,84104,27494,10511,-54,-931,-677,-681,578,3741270,-12194910,16154,28889,-53,10499,1785
65349.65,83886,27478,10522,-34,-910,-317,-571,573,3741239,-12194799,16354,28892,-22,10477,1737
65350.65,83678,27459,10564,-51,-966,-470,-697,576,3741208,-12194685,16550,28894,-188,10494,1732
65351.65,83464,27438,10583,-58,-1075,-339,-587,584,3741175,-12194574,16740,28892,-143,10427,1719
65352.65,83267,27395,10713,-164,-1117,-599,-652,584,3741143,-12194460,16927,28867,-158,10375,1690
65353.65,83057,27363,10730,-150,-1174,-717,-658,587,3741111,-12194346,17112,28854,-351,10351,1707
65354.65,82857,27341,10741,-127,-1207,-800,-597,587,3741079,-12194231,17300,28850,-183,10308,1687
65355.65,82654,27309,10777,-131,-1247,-970,-552,589,3741046,-12194119,17488,28836,-141,10312,1697
65356.65,82452,27282,10829,-148,-1271,-1078,-965,589,3741013,-12194004,17677,28828,-201,10298,1701
65357.65,82255,27260,10877,-163,-1288,-1138,-589,591,3740981,-12193888,17865,28825,-184,10294,1708
65358.65,82057,27239,10915,-166,-1276,-1079,-891,590,3740947,-12193771,18055,28823,-152,10288,1705
65359.65,81851,27223,10955,-175,-1272,-814,-859,590,3740915,-12193656,18247,28826,-128,10294,1705
65360.65,81657,27212,10981,-171,-1280,-632,-664,589,3740882,-12193540,18442,28834,-87,10288,1692
65361.65,81449,27201,10991,-146,-1277,-534,-525,590,3740849,-12193421,18638,28843,-168,10297,1696
65362.65,81237,27186,10989,-105,-1264,-526,-586,588,3740816,-12193306,18836,28849,-28,10299,1696
65363.65,81038,27173,11004,-90,-1266,-382,-821,587,3740783,-12193188,19036,28855,-75,10322,1690
65364.65,80828,27157,11026,-72,-1256,-439,-861,588,3740749,-12193071,19237,28859,-130,10324,1699
65365.65,80617,27139,11049,-62,-1244,-307,-790,587,3740716,-12192950,19439,28862,-9,10277,1691
65366.65,80413,27123,11046,-19,-1216,-388,-824,587,3740683,-12192833,19642,28866,-158,10314,1692
65367.65,80205,27109,11062,4,-1213,-517,-1095,586,3740649,-12192714,19846,28873,-133,10330,1699
65368.65,80002,27097,11111,-16,-1218,-545,-573,587,3740616,-12192595,20050,28880,-106,10318,1679
65369.65,79806,27085,11127,3,-1217,-615,-549,586,3740582,-12192475,20253,28888,-90,10333,1667
65370.65,79605,27086,11134,34,-1204,-677,-737,585,3740548,-12192356,20456,28910,-141,10334,1671
65371.65,79398,27084,11132,70,-1196,-507,-740,585,3740514,-12192234,20659,28929,-32,10368,1654
65372.65,79199,27075,11145,83,-1230,-327,-788,586,3740480,-12192115,20860,28940,-21,10369,1652
65373.65,79008,27060,11166,95,-1254,-489,-851,587,3740446,-12191991,21059,28944,-160,10339,1638
65374.65,78807,27045,11158,140,-1261,-574,-814,587,3740411,-12191871,21257,28949,-194,10339,1649
