"TIME_UTC	 P	 T	 TAS	 U	 V	 W	 TEDR	 REYN	 G_LAT	 G_LONG	 G_ALT	 POT	 ROLL	 HDG	 PITCH                                                                                                                   "
"66464.57	88529	29379	10993	-160	287	-269	-866	529	3742908	-12199311	11527	30419	-193	10424	1729"
"66465.57	88312	29373	10953	-141	281	-264	-838	524	3742885	-12199193	11758	30435	-142	10444	1728"
"66466.57	88110	29375	10930	-136	268	-138	-861	523	3742862	-12199079	11984	30456	-222	10439	1684"
"66467.57	87909	29371	10902	-116	257	-133	-939	520	3742839	-12198963	12202	30472	-262	10415	1654"
"66468.57	87721	29380	10880	-98	251	-89	-901	519	3742815	-12198848	12412	30501	-235	10409	1635"
"66469.57	87541	29392	10865	-70	292	-147	-862	524	3742792	-12198730	12611	30531	-179	10426	1624"
"66470.57	87371	29398	10863	-49	352	-169	-854	530	3742769	-12198615	12798	30554	-200	10466	1608"
"66471.57	87213	29397	10921	-89	380	-202	-963	534	3742746	-12198498	12976	30569	-189	10496	1531"
"66472.57	87050	29388	10963	-117	379	-214	-874	535	3742724	-12198381	13144	30576	-155	10470	1508"
"66473.57	86900	29379	10997	-131	383	-220	-751	536	3742701	-12198265	13303	30582	-145	10484	1481"
"66474.57	86752	29369	11034	-143	391	-216	-861	536	3742679	-12198149	13453	30586	-143	10488	1463"
"66475.57	86604	29363	11068	-151	393	-229	-845	538	3742656	-12198033	13597	30594	-156	10490	1440"
"66476.57	86461	29356	11107	-159	400	-263	-894	539	3742634	-12197914	13736	30602	-189	10487	1428"
"66477.57	86319	29350	11145	-168	399	-275	-962	538	3742611	-12197795	13870	30610	-158	10486	1426"
"66478.57	86179	29344	11187	-180	403	-249	-925	539	3742589	-12197676	14001	30618	-168	10489	1418"
"66479.57	86039	29344	11225	-191	390	-278	-929	539	3742566	-12197560	14123	30633	-218	10484	1413"
"66480.57	85879	29344	11238	-190	338	-315	-1145	533	3742544	-12197440	14248	30649	-223	10450	1473"
"66481.57	85727	29345	11254	-201	288	-285	-877	530	3742521	-12197321	14380	30666	-177	10429	1507"
"66482.57	85582	29355	11256	-206	221	-272	-1009	522	3742498	-12197200	14516	30690	-122	10410	1524"
"66483.57	85440	29346	11267	-213	201	-334	-828	521	3742476	-12197081	14656	30696	-159	10378	1476"
"66484.57	85298	29336	11254	-232	183	-385	-873	522	3742453	-12196961	14798	30700	-188	10369	1313"
"66485.57	85166	29329	11200	-222	157	-399	-864	516	3742430	-12196843	14944	30706	-154	10356	1204"
"66486.57	85060	29325	11137	-213	141	-408	-867	514	3742407	-12196721	15085	30712	-187	10346	1050"
"66487.57	84991	29324	11071	-193	123	-397	-795	510	3742384	-12196604	15217	30719	-136	10341	897"
"66488.57	84949	29323	11027	-174	113	-410	-819	506	3742359	-12196483	15332	30722	-125	10336	789"
"66489.57	84922	29323	10998	-147	101	-478	-824	499	3742334	-12196364	15423	30724	-282	10331	735"
"66490.57	84898	29322	10984	-129	86	-527	-835	491	3742309	-12196243	15509	30726	-244	10310	756"
"66491.57	84881	29321	10979	-118	76	-525	-785	489	3742283	-12196124	15584	30727	-253	10309	777"
"66492.57	84867	29319	10983	-117	74	-487	-974	486	3742257	-12196005	15640	30726	-250	10309	819"
"66493.57	84872	29317	10995	-125	83	-408	-785	490	3742233	-12195886	15673	30723	-213	10308	816"
"66494.57	84867	29316	11003	-124	91	-386	-898	494	3742210	-12195767	15684	30723	-273	10300	838"
"66495.57	84866	29309	11029	-139	104	-322	-852	498	3742189	-12195649	15676	30716	-212	10295	839"
"66496.57	84857	29310	11033	-141	93	-278	-969	498	3742167	-12195528	15653	30718	-207	10302	842"
"66497.57	84838	29308	11041	-143	94	-285	-960	497	3742147	-12195408	15625	30718	-111	10292	847"
"66498.57	84823	29307	11047	-148	93	-275	-1065	497	3742127	-12195288	15594	30718	-57	10312	847"
"66499.57	84807	29307	11057	-152	92	-327	-910	500	3742106	-12195169	15568	30720	-77	10329	847"
"66500.57	84771	29309	11039	-135	87	-357	-926	495	3742085	-12195050	15546	30726	-91	10321	902"
"66501.57	84755	29307	11041	-138	91	-291	-961	497	3742065	-12194930	15510	30726	-76	10340	881"
"66502.57	84740	29303	11055	-152	98	-309	-949	500	3742044	-12194811	15486	30722	-8	10349	877"
"66503.57	84717	29298	11057	-157	97	-313	-833	500	3742022	-12194690	15480	30719	-24	10365	880"
"66504.57	84704	29295	11060	-157	103	-305	-917	502	3742000	-12194571	15484	30718	-80	10375	864"
"66505.57	84691	29294	11068	-160	107	-229	-1053	503	3741979	-12194453	15493	30719	-39	10375	844"
"66506.57	84687	29295	11077	-158	102	-237	-776	502	3741956	-12194333	15503	30720	-138	10383	785"
"66507.57	84682	29297	11081	-145	98	-291	-825	501	3741933	-12194213	15510	30722	-138	10369	763"
"66508.57	84670	29299	11085	-132	89	-245	-978	494	3741909	-12194094	15517	30726	-209	10362	768"
"66509.57	84660	29303	11085	-116	78	-274	-766	489	3741886	-12193974	15523	30731	-150	10363	788"
"66510.57	84664	29298	11111	-124	93	-215	-776	491	3741863	-12193855	15525	30725	-132	10374	780"
"66511.57	84669	29291	11156	-145	111	-254	-959	499	3741839	-12193734	15524	30717	-94	10388	767"
"66512.57	84665	29294	11173	-136	103	-273	-979	498	3741816	-12193615	15520	30721	-124	10393	771"
"66513.57	84668	29295	11202	-140	103	-218	-867	498	3741793	-12193493	15517	30722	-77	10393	760"
"66514.57	84670	29296	11216	-132	98	-188	-983	496	3741769	-12193372	15515	30723	-111	10396	754"
"66515.57	84666	29298	11231	-125	91	-206	-969	494	3741745	-12193251	15513	30725	-75	10404	760"
"66516.57	84664	29298	11251	-123	92	-202	-974	495	3741721	-12193131	15511	30725	-61	10411	760"
"66517.57	84666	29295	11275	-127	90	-200	-914	493	3741697	-12193008	15510	30722	-4	10430	763"
"66518.57	84662	29292	11304	-137	100	-206	-849	496	3741673	-12192885	15510	30719	25	10449	763"
"66519.57	84664	29294	11319	-137	104	-292	-881	496	3741648	-12192765	15510	30721	-75	10459	746"
"66520.57	84660	29289	11343	-149	103	-293	-759	503	3741624	-12192643	15512	30717	-55	10457	737"
"66521.57	84660	29289	11359	-153	111	-279	-751	503	3741599	-12192520	15512	30716	-83	10466	740"
"66522.57	84655	29294	11348	-138	94	-320	-785	494	3741573	-12192398	15512	30722	-117	10472	745"
"66523.57	84646	29292	11350	-136	91	-352	-1064	497	3741548	-12192276	15511	30721	-151	10454	777"
"66524.57	84649	29290	11369	-152	98	-347	-915	504	3741523	-12192154	15511	30718	-122	10463	766"
"66525.57	84644	29288	11381	-161	104	-339	-648	506	3741497	-12192031	15512	30717	-153	10471	771"
"66526.57	84635	29288	11375	-161	101	-383	-720	501	3741472	-12191909	15515	30718	-131	10461	789"
"66527.57	84625	29290	11354	-153	98	-363	-855	501	3741446	-12191787	15520	30720	-97	10468	797"
"66528.57	84616	29290	11339	-152	98	-352	-899	501	3741420	-12191664	15525	30722	-86	10483	790"
"66529.57	84611	29291	11325	-150	100	-337	-750	502	3741395	-12191542	15532	30723	-133	10479	796"
"66530.57	84600	29291	11306	-143	91	-355	-1036	497	3741369	-12191420	15540	30725	-164	10471	802"
"66531.57	84596	29290	11309	-156	95	-330	-896	502	3741344	-12191299	15548	30724	-148	10470	791"
"66532.57	84602	29287	11319	-168	102	-445	-768	504	3741318	-12191177	15557	30720	-208	10470	723"
"66533.57	84594	29286	11321	-171	96	-353	-725	502	3741293	-12191056	15563	30719	-221	10447	725"
"66534.57	84589	29293	11290	-137	98	-206	-602	505	3741267	-12190932	15569	30727	-182	10452	726"
"66535.57	84590	29302	11258	-105	88	-468	-867	486	3741242	-12190811	15573	30737	-195	10462	744"
"66536.57	84586	29298	11283	-132	84	-413	-805	488	3741216	-12190689	15574	30733	-151	10455	764"
"66537.57	84589	29295	11281	-134	73	-334	-929	497	3741190	-12190568	15572	30730	-214	10437	774"
"66538.57	84590	29303	11265	-120	64	-447	-871	492	3741165	-12190446	15568	30738	-208	10437	772"
"66539.57	84589	29308	11270	-124	71	-448	-819	490	3741140	-12190325	15567	30743	-150	10428	775"
"66540.57	84592	29292	11298	-151	91	-559	-754	501	3741115	-12190203	15567	30726	-167	10434	777"
"66541.57	84588	29289	11305	-159	100	-452	-882	499	3741090	-12190081	15567	30724	-138	10453	778"
"66542.57	84588	29298	11282	-138	97	-309	-654	499	3741065	-12189960	15567	30733	-106	10446	767"
"66543.57	84586	29313	11267	-124	100	-615	-824	492	3741040	-12189839	15569	30749	-218	10450	775"
"66544.57	84574	29297	11266	-134	65	-581	-780	492	3741015	-12189715	15571	30734	-238	10425	800"
"66545.57	84567	29305	11259	-128	86	-364	-978	499	3740990	-12189595	15572	30743	-241	10404	793"
"66546.57	84568	29299	11266	-138	100	-588	-674	498	3740965	-12189474	15575	30736	-290	10424	805"
"66547.57	84536	29288	11278	-152	96	-509	-850	498	3740940	-12189350	15579	30728	39	10422	829"
"66548.57	84502	29295	11283	-136	100	-192	-765	499	3740916	-12189231	15583	30738	1849	10619	926"
"66549.57	84383	29295	11280	-82	63	-50	-712	483	3740891	-12189107	15590	30751	2703	11128	1071"
"66550.57	84285	29293	11348	-60	53	-13	-875	463	3740864	-12188986	15599	30759	2793	11603	1174"
"66551.57	84250	29286	11426	-70	56	109	-925	469	3740832	-12188867	15625	30756	2961	11925	1271"
"66552.57	84168	29280	11459	-58	43	125	-762	460	3740794	-12188750	15683	30758	2835	12258	1356"
"66553.57	84089	29273	11488	-39	58	185	-868	453	3740750	-12188635	15774	30759	2909	12565	1434"
"66554.57	83941	29268	11472	-4	37	169	-826	434	3740700	-12188523	15889	30769	2870	12895	1512"
"66555.57	83805	29256	11458	11	15	206	861	418	3740646	-12188416	16022	30771	2798	13190	1584"
"66556.57	83655	29256	11428	71	33	99	-853	463	3740584	-12188311	16193	30787	2704	13472	1646"
"66557.57	83503	29244	11413	76	44	210	-734	467	3740520	-12188210	16373	30790	1844	13725	1735"
"66558.57	83334	29228	11396	87	31	-169	-760	473	3740452	-12188116	16574	30790	-186	13628	1828"
"66559.57	83114	29206	11388	77	36	-626	-755	466	3740380	-12188026	16796	30791	-344	13393	1889"
"66560.57	82925	29187	11338	74	30	-507	-936	469	3740309	-12187935	17013	30791	-252	13386	1918"
"66561.57	82728	29172	11305	81	37	-545	-911	467	3740238	-12187847	17230	30796	-148	13434	1851"
"66562.57	82523	29155	11258	84	25	-409	-887	464	3740167	-12187757	17454	30800	-72	13423	1834"
"66563.57	82340	29130	11245	95	51	-407	-883	477	3740096	-12187670	17677	30793	-169	13439	1675"
"66564.57	82162	29112	11228	110	48	-367	-989	480	3740026	-12187580	17905	30793	-122	13448	1595"
"66565.57	81991	29098	11213	118	26	-297	-788	482	3739954	-12187491	18132	30797	-152	13438	1550"
"66566.57	81830	29084	11218	120	17	-270	-987	483	3739883	-12187401	18346	30799	-155	13441	1531"
"66567.57	81681	29077	11239	105	8	-178	-854	474	3739811	-12187312	18546	30808	-63	13446	1506"
"66568.57	81539	29068	11265	101	18	-155	-814	474	3739739	-12187222	18731	30813	-22	13460	1507"
"66569.57	81391	29053	11266	127	17	-155	-789	486	3739666	-12187134	18914	30813	-138	13477	1509"
"66570.57	81249	29039	11273	136	10	-121	-815	488	3739594	-12187042	19088	30814	-119	13481	1506"
"66571.57	81111	29024	11290	147	16	-175	-890	492	3739522	-12186951	19251	30813	-127	13484	1488"
"66572.57	80976	29010	11303	154	12	-146	-844	491	3739449	-12186862	19403	30812	-83	13498	1469"
"66573.57	80828	28996	11315	163	5	-155	-773	492	3739376	-12186772	19546	30814	-181	13500	1470"
"66574.57	80681	28984	11338	169	9	-122	-812	496	3739303	-12186682	19679	30817	-126	13495	1447"
"66575.57	80542	28973	11366	155	0	-150	-871	494	3739230	-12186591	19786	30821	-142	13502	1446"
"66576.57	80404	28963	11388	151	-10	-152	-1014	489	3739157	-12186502	19885	30825	-110	13499	1443"
"66577.57	80267	28952	11429	142	5	-172	-968	487	3739085	-12186411	20016	30828	-124	13500	1430"
"66578.57	80124	28943	11466	134	10	-214	-808	487	3739013	-12186320	20153	30835	-162	13509	1430"
"66579.57	79994	28932	11516	116	26	-210	-863	481	3738941	-12186228	20292	30837	-132	13498	1409"
"66580.57	79860	28922	11549	109	25	-280	-917	481	3738867	-12186136	20432	30842	-223	13492	1405"
"66581.57	79721	28913	11573	103	16	-262	-886	473	3738794	-12186045	20571	30847	-229	13481	1433"
"66582.57	79588	28904	11613	93	31	-283	-1012	468	3738722	-12185954	20711	30852	-257	13473	1437"
"66583.57	79444	28895	11645	83	39	-321	-946	470	3738648	-12185859	20853	30859	-245	13470	1455"
"66584.57	79300	28885	11667	83	52	-301	-817	471	3738575	-12185767	20998	30864	-198	13470	1495"
"66585.57	79161	28870	11692	84	73	-292	-829	477	3738501	-12185674	21144	30864	-171	13484	1490"
"66586.57	79011	28857	11704	84	78	-271	-831	477	3738427	-12185582	21292	30866	-156	13486	1501"
"66587.57	78864	28841	11740	59	92	-269	-1133	475	3738354	-12185489	21443	30865	-190	13482	1485"
"66588.57	78714	28824	11758	47	92	-269	-1123	474	3738281	-12185395	21597	30864	-237	13464	1476"
"66589.57	78556	28809	11766	45	89	-234	-972	470	3738208	-12185303	21756	30866	-316	13442	1493"
"66590.57	78410	28794	11776	47	93	-241	-971	474	3738134	-12185209	21919	30866	-309	13435	1479"
"66591.57	78254	28779	11782	52	96	-245	-992	476	3738061	-12185116	22086	30868	-280	13424	1496"
"66592.57	78100	28764	11776	61	87	-220	-1064	474	3737987	-12185021	22255	30868	-265	13426	1497"
"66593.57	77944	28748	11780	56	77	-214	-1009	471	3737914	-12184927	22421	30870	-241	13415	1504"
"66594.57	77794	28732	11803	34	82	-176	-872	468	3737842	-12184833	22588	30869	-219	13400	1503"
"66595.57	77641	28718	11821	19	87	-132	-933	469	3737768	-12184739	22755	30871	-196	13401	1505"
"66596.57	77487	28702	11837	11	94	-120	-749	470	3737695	-12184643	22923	30872	-163	13398	1497"
"66597.57	77338	28689	11824	39	95	-142	-986	474	3737622	-12184551	23091	30875	-170	13402	1478"
"66598.57	77186	28679	11820	53	91	-118	-923	472	3737549	-12184456	23259	30881	-194	13415	1478"
"66599.57	77037	28668	11812	75	89	-132	-1006	479	3737476	-12184361	23426	30886	-195	13408	1476"
"66600.57	76887	28655	11814	73	77	-141	-893	475	3737403	-12184266	23591	30890	-188	13413	1473"
"66601.57	76735	28642	11811	75	61	-142	-1018	470	3737330	-12184171	23755	30893	-135	13404	1475"
"66602.57	76585	28634	11801	93	52	-138	-933	474	3737256	-12184075	23918	30902	-106	13409	1482"
"66603.57	76444	28624	11804	117	68	-150	-1025	484	3737183	-12183981	24081	30907	-102	13436	1480"
"66604.57	76298	28610	11806	128	68	-164	-1007	488	3737109	-12183886	24243	30909	-98	13446	1473"
"66605.57	76151	28598	11825	127	77	-183	-934	488	3737036	-12183791	24404	30913	-113	13446	1463"
"66606.57	76001	28587	11839	122	78	-175	-824	489	3736962	-12183696	24565	30919	-148	13452	1480"
"66607.57	75860	28576	11874	99	93	-139	-914	484	3736888	-12183600	24725	30923	-126	13455	1480"
"66608.57	75719	28565	11917	63	108	-148	-883	480	3736815	-12183506	24886	30928	-94	13451	1475"
"66609.57	75563	28555	11948	36	114	-204	-993	479	3736740	-12183410	25047	30936	-110	13450	1477"
"66610.57	75415	28543	11971	22	124	-168	-958	483	3736666	-12183316	25210	30939	-142	13448	1472"
"66611.57	75272	28532	11981	33	140	-164	-715	488	3736592	-12183220	25374	30944	-179	13447	1464"
"66612.57	75123	28523	11979	68	162	-169	-823	495	3736518	-12183125	25537	30952	-199	13461	1460"
"66613.57	74973	28514	11971	106	175	-199	-771	504	3736443	-12183030	25701	30960	-197	13475	1468"
"66614.57	74821	28505	11959	134	177	-199	-734	506	3736369	-12182935	25864	30968	-181	13491	1473"
"66615.57	74687	28494	11965	154	194	-154	-793	509	3736295	-12182840	26027	30972	-142	13500	1451"
"66616.57	74545	28494	11944	214	210	-207	-927	518	3736220	-12182745	26190	30989	-169	13519	1445"
"66617.57	74402	28499	11934	260	223	-167	-895	525	3736146	-12182647	26351	31012	-80	13559	1423"
"66618.57	74267	28513	11935	305	247	-203	-993	530	3736071	-12182552	26510	31043	-88	13585	1406"
"66619.57	74130	28527	11976	292	267	-211	-824	530	3735997	-12182457	26668	31074	-101	13606	1394"
"66620.57	74000	28532	11990	287	257	-225	-830	529	3735921	-12182361	26824	31096	-71	13602	1383"
"66621.57	73868	28541	11998	268	225	-244	-904	524	3735846	-12182265	26978	31121	-58	13606	1395"
"66622.57	73743	28543	12026	264	235	-241	-883	526	3735770	-12182167	27129	31138	-4	13602	1373"
"66623.57	73614	28546	12030	299	250	-250	-925	529	3735695	-12182072	27277	31157	-45	13635	1379"
"66624.57	73486	28551	12045	297	240	-267	-1017	528	3735619	-12181978	27422	31178	-22	13657	1377"
"66625.57	73362	28548	12104	253	257	-247	-854	526	3735542	-12181881	27563	31190	-11	13649	1375"
"66626.57	73242	28543	12143	231	266	-259	-970	525	3735466	-12181786	27702	31199	-108	13652	1367"
"66627.57	73114	28539	12164	226	266	-239	-857	524	3735390	-12181688	27844	31210	-103	13649	1365"
"66628.57	72982	28531	12187	218	269	-218	-894	524	3735312	-12181595	27986	31218	-116	13647	1375"
"66629.57	72856	28524	12221	210	286	-206	-936	525	3735236	-12181498	28128	31225	-143	13658	1360"
"66630.57	72728	28519	12255	206	307	-189	-791	527	3735159	-12181403	28272	31236	-130	13655	1369"
