"TIME_UTC","P","T","TAS","U","V","W","TEDR","REYN","G_LAT","G_LONG","G_ALT","POT","ROLL","HDG","PITCH "
"72200.050","100349","29198","11459","-45","-466","-148","-473","545","3742685","-12205590","-76","29169","4037","34369","1544"
"72201.050","99578","29026","11502","32","-565","1056","-446","559","3742777","-12205638","-31","29061","6364","102","1635"
"72202.050","98814","28994","11277","-57","-468","1233","-588","552","3742875","-12205679","4","29093","6160","1287","1642"
"72203.050","98673","28979","11151","-132","-493","1631","-529","556","3742982","-12205698","16","29090","6428","2443","1827"
"72204.050","98301","28946","11123","-105","-649","1665","-776","564","3743089","-12205678","69","29088","6635","3617","1772"
"72205.050","98381","28931","10969","-28","-680","1549","-618","566","3743200","-12205629","174","29066","6945","4662","1741"
"72206.050","98124","28914","10768","21","-681","2007","-607","566","3743290","-12205571","300","29071","7187","5823","1612"
"72207.050","97873","28908","10613","130","-782","2778","-446","569","3743374","-12205502","544","29086","7302","6946","1464"
"72208.050","97984","28917","10348","236","-635","2473","-458","575","3743431","-12205409","829","29086","7486","7953","1248"
"72209.050","98019","28902","10328","161","-317","1544","-719","547","3743471","-12205312","1189","29067","7580","8923","942"
"72210.050","98207","28917","10252","332","-660","1360","-355","549","3743491","-12205204","1552","29067","7539","9854","677"
"72211.050","99328","28964","10012","693","-671","2059","-771","578","3743493","-12205087","1874","29020","3597","9913","794"
"72212.050","98028","28878","10423","477","-361","-916","-666","558","3743390","-12204865","1867","29043","109","9811","1609"
"72213.050","97492","28885","10463","396","-400","-1670","-665","556","3743372","-12204729","1855","29096","328","9562","2453"
"72214.050","98434","28927","10194","572","-431","391","-652","565","3743358","-12204608","1948","29057","4","9662","2304"
"72215.050","98189","28897","10178","533","-475","1090","-646","567","3743345","-12204490","2144","29048","305","9708","2291"
"72216.100","98010","28890","10074","617","-294","1243","-651","567","3743330","-12204375","2374","29056","631","9816","2230"
"72217.100","97616","28873","10057","627","-225","905","-716","565","3743315","-12204261","2640","29072","808","9984","2220"
"72218.100","97201","28833","10145","532","-166","682","-634","562","3743300","-12204144","2937","29068","623","10073","2211"
"72219.100","96798","28815","10199","504","-11","-194","-709","552","3743282","-12204028","3215","29084","394","10126","2183"
"72220.100","96623","28804","10142","531","-25","191","-738","555","3743264","-12203913","3476","29088","363","10236","2182"
"72221.100","96328","28782","10129","529","-2","488","-589","556","3743246","-12203799","3737","29091","101","10200","2086"
"72222.100","96068","28788","10150","536","151","439","-695","556","3743227","-12203685","3990","29120","76","10250","2069"
"72223.100","95817","28772","10140","586","316","374","-709","564","3743208","-12203569","4235","29126","222","10398","2040"
"72224.100","95541","28759","10100","641","325","455","-608","565","3743188","-12203457","4474","29136","229","10533","1977"
"72225.100","95381","28744","10138","610","267","559","-735","565","3743168","-12203340","4705","29135","130","10505","1792"
"72226.100","95190","28735","10159","629","242","423","-671","563","3743146","-12203225","4924","29143","80","10466","1694"
"72227.100","94999","28702","10204","633","209","767","-625","561","3743124","-12203110","5123","29126","23","10503","1569"
"72228.100","94835","28669","10268","609","53","1304","-493","558","3743102","-12202993","5296","29107","143","10464","1443"
"72229.100","94659","28683","10337","668","153","605","-632","565","3743080","-12202874","5439","29136","60","10414","1412"
"72230.100","94490","28666","10393","722","199","886","-724","569","3743057","-12202755","5561","29134","28","10546","1442"
"72231.100","94357","28657","10480","726","154","1008","-617","569","3743034","-12202636","5672","29136","78","10525","1396"
"72232.100","94207","28657","10626","688","186","786","-670","567","3743011","-12202514","5787","29150","1","10537","1380"
"72233.100","94050","28654","10732","689","215","819","-747","568","3742986","-12202391","5906","29160","31","10592","1425"
"72234.100","93905","28640","10857","644","183","1017","-762","562","3742962","-12202267","6030","29159","46","10605","1429"
