"TIME_UTC","P","T","TAS","U","V","W","TEDR","REYN","G_LAT","G_LONG","G_ALT","POT","ROLL","HDG","PITCH "
"58805.300","100421","28752","10951","761","204","422","-479","580","3742785","-12205632","-197","28718","1249","33876","2284"
"58806.300","100352","28716","10923","801","198","44","-434","579","3742883","-12205674","-91","28687","3326","34304","2242"
"58807.300","99823","28694","10935","703","60","-751","-730","563","3742980","-12205710","96","28709","4657","35159","2406"
"58808.300","99473","28660","10931","855","-54","624","-570","579","3743076","-12205743","336","28704","5108","35856","2194"
"58809.300","99186","28623","10767","993","45","129","-733","581","3743169","-12205765","595","28690","6039","489","2125"
"58810.300","98713","28613","10702","639","-54","2266","-551","563","3743262","-12205773","873","28719","6260","1374","2067"
"58811.300","98309","28565","10709","608","-103","393","-586","561","3743358","-12205759","1223","28704","6337","2304","1867"
"58812.300","98021","28544","10635","594","-99","-62","-551","562","3743450","-12205734","1561","28707","6728","3060","1867"
"58813.300","97549","28513","10660","541","-209","-292","-516","560","3743538","-12205697","1827","28716","6600","3984","1778"
"58814.300","97280","28484","10604","566","-250","89","-543","563","3743617","-12205632","2082","28709","6627","4836","1685"
"58815.300","96935","28443","10479","592","-199","23","-543","564","3743688","-12205534","2373","28697","6492","5783","1637"
"58816.300","96715","28448","10350","727","-254","303","-538","573","3743746","-12205415","2704","28721","6576","6585","1606"
"58817.300","96613","28431","10271","743","-234","962","-637","576","3743795","-12205299","2966","28712","6473","7463","1517"
"58818.300","96340","28417","10210","782","-237","853","-679","577","3743834","-12205184","3147","28722","6313","8400","1454"
"58819.300","96209","28398","10326","620","-140","776","-759","562","3743860","-12205064","3238","28713","6290","9248","1471"
"58820.300","96065","28381","10219","712","-162","818","-598","572","3743864","-12204934","3418","28708","6178","10131","1400"
"58821.350","95952","28376","10199","740","-184","907","-627","570","3743855","-12204807","3604","28712","6213","11022","1373"
"58822.350","95760","28354","10170","792","-97","483","-795","571","3743837","-12204678","3757","28707","6120","11895","1346"
"58823.350","95630","28344","10149","811","-135","476","-612","574","3743813","-12204559","3866","28708","6219","12775","1336"
"58824.350","95449","28324","10239","747","-89","-264","-644","568","3743785","-12204444","3963","28704","6189","13667","1296"
"58825.350","95442","28326","10311","656","-109","197","-685","562","3743747","-12204332","4061","28706","6305","14446","1206"
"58826.350","95391","28314","10280","784","-76","498","-626","570","3743692","-12204220","4184","28698","6071","15325","1129"
"58827.350","95321","28314","10313","762","-80","402","-603","568","3743625","-12204113","4337","28704","5895","16115","1116"
"58828.350","95430","28312","10254","713","-121","-374","-668","572","3743537","-12204047","4485","28693","5578","16710","1043"
"58829.350","95310","28311","10205","770","-148","-926","-570","570","3743423","-12204023","4628","28702","5450","17401","1116"
"58830.350","95423","28316","10249","785","-110","-555","-720","575","3743294","-12204020","4741","28698","5199","18009","1083"
"58831.350","95701","28318","10260","676","-172","681","-741","566","3743192","-12203999","4844","28676","4195","18296","839"
"58832.350","95839","28317","10282","718","-270","-73","-716","569","3743099","-12203988","4916","28663","2696","18381","871"
"58833.350","95725","28314","10475","725","-192","-574","-583","569","3743007","-12203983","4808","28669","1566","18441","949"
"58834.350","95737","28305","10638","824","-162","-60","-567","576","3742915","-12203983","4720","28660","546","18455","826"
"58835.350","95653","28307","10719","820","-206","-275","-557","572","3742819","-12203983","4728","28669","266","18468","856"
"58836.350","95629","28303","10838","806","-175","750","-555","576","3742721","-12203983","4750","28666","340","18472","746"
"58837.350","95582","28292","10894","670","-217","1530","-560","565","3742622","-12203983","4763","28659","345","18484","738"
"58838.350","95556","28298","11034","686","-142","2822","-747","568","3742521","-12203985","4776","28668","211","18453","679"
"58839.350","95577","28298","11171","715","-72","2062","-721","571","3742421","-12203987","4785","28666","132","18506","650"
"58840.350","95615","28297","11184","705","-105","-31","-660","567","3742320","-12203988","4796","28662","132","18462","685"
"58841.350","95516","28309","11047","617","-271","1179","-506","565","3742218","-12203989","4802","28682","159","18523","708"
"58842.350","95553","28306","11100","520","-271","3165","-663","557","3742117","-12203994","4808","28676","296","18498","574"
"58843.350","95578","28297","11061","489","-358","1534","-566","560","3742014","-12203997","4813","28665","398","18506","625"
"58844.350","95531","28313","11119","475","-349","1947","-748","556","3741911","-12204002","4817","28685","664","18595","682"
"58845.350","95547","28305","11253","551","-262","1580","-496","564","3741809","-12204005","4820","28676","897","18733","644"
"58846.350","95510","28296","11348","556","-203","473","-624","565","3741705","-12204014","4823","28670","1143","18885","762"
"58847.350","95467","28295","11433","640","-140","-784","-594","561","3741602","-12204023","4833","28672","1410","19071","866"
"58848.350","95403","28293","11415","620","-149","333","-534","562","3741499","-12204034","4850","28676","1972","19276","858"
"58849.350","95386","28294","11389","607","-168","316","-694","561","3741396","-12204049","4867","28679","2429","19588","878"
"58850.350","95329","28286","11329","667","-232","-442","-572","567","3741295","-12204070","4890","28676","2740","19868","954"
"58851.350","95254","28268","11390","732","-161","-1442","-559","568","3741194","-12204094","4933","28663","2881","20265","1011"
"58852.350","95184","28266","11220","735","-301","-1222","-627","572","3741095","-12204124","4986","28667","3145","20563","1032"
"58853.350","95074","28275","11216","807","-283","-146","-552","578","3740998","-12204164","5040","28686","3331","20961","1042"
"58854.350","94982","28270","11298","809","-152","73","-680","573","3740904","-12204208","5096","28689","3549","21294","985"
"58855.350","94874","28255","11195","650","-127","1625","-511","566","3740813","-12204258","5166","28683","3746","21642","944"
"58856.350","94863","28280","10973","553","-299","2642","-607","560","3740725","-12204314","5225","28709","3886","21998","876"
"58857.350","94767","28237","11075","788","-336","953","-701","575","3740639","-12204375","5298","28674","3835","22513","912"
"58858.350","94657","28217","11077","781","-297","114","-533","574","3740555","-12204440","5382","28663","4061","22931","957"
"58859.350","94626","28221","11033","756","-290","-165","-585","572","3740479","-12204515","5474","28670","4154","23297","944"
"58860.350","94529","28212","11092","817","-225","-460","-651","574","3740411","-12204612","5598","28669","4057","23769","969"
"58861.350","94518","28215","11010","779","-267","-1121","-544","572","3740353","-12204712","5650","28673","3902","24136","956"
"58862.350","94466","28212","11006","810","-255","-1100","-627","575","3740300","-12204815","5666","28675","3774","24509","998"
"58863.350","94498","28204","11021","860","-261","-561","-609","578","3740253","-12204919","5677","28664","3045","24821","917"
"58864.350","94486","28200","11047","851","-168","-1297","-685","576","3740210","-12205024","5688","28660","2864","25012","904"
"58865.350","94488","28195","11073","844","-47","-467","-642","576","3740170","-12205129","5687","28656","2630","25123","857"
"58866.350","94506","28193","11057","877","-206","-1069","-707","579","3740133","-12205237","5700","28651","2071","25316","797"
"58867.350","94432","28193","11014","840","-278","-1116","-610","577","3740099","-12205344","5709","28659","1336","25455","864"
"58868.350","94411","28189","11028","846","-298","-817","-537","578","3740067","-12205455","5727","28656","823","25539","857"
"58869.350","94393","28185","11029","803","-215","-221","-608","572","3740037","-12205565","5744","28654","700","25527","812"
"58870.350","94402","28183","10993","747","-223","81","-604","571","3740008","-12205674","5761","28651","679","25542","784"
"58871.350","94369","28196","11020","737","-189","-233","-767","566","3739981","-12205787","5776","28666","715","25627","788"
"58872.350","94333","28199","11171","870","-199","1426","-445","572","3739954","-12205899","5788","28673","699","25715","739"
"58873.350","94372","28184","11219","905","-301","1160","-657","574","3739928","-12206012","5803","28654","558","25840","701"
"58874.350","94339","28190","11165","812","-299","513","-606","576","3739903","-12206125","5817","28663","637","25856","734"
"58875.350","94340","28176","11167","791","-314","203","-734","579","3739879","-12206240","5829","28649","1075","25989","720"
"58876.350","94320","28181","11095","686","-298","-736","-515","567","3739856","-12206354","5838","28656","1248","26118","781"
"58877.350","94299","28183","11124","695","-271","-1138","-493","571","3739835","-12206469","5845","28660","1289","26231","802"
"58878.350","94311","28182","11172","701","-133","-1072","-760","564","3739816","-12206587","5851","28658","1387","26326","747"
"58879.350","94312","28183","11285","777","-1","-1666","-603","572","3739799","-12206703","5855","28658","1571","26365","774"
"58880.350","94288","28196","11289","764","45","-969","-628","571","3739785","-12206819","5857","28674","1398","26510","770"
"58881.350","94319","28180","11385","838","54","-1672","-568","570","3739773","-12206938","5860","28655","1480","26595","752"
"58882.350","94277","28180","11302","755","-19","-1523","-580","572","3739763","-12207057","5862","28659","1561","26779","806"
"58883.350","94273","28188","11244","680","-103","63","-608","569","3739755","-12207174","5865","28667","1524","26981","706"
"58884.350","94296","28175","11346","746","-37","-1367","-656","572","3739750","-12207295","5869","28652","1747","27102","713"
"58885.350","94260","28173","11247","636","-80","-1425","-726","562","3739748","-12207415","5869","28653","1676","27261","809"
"58886.350","94268","28180","11247","613","-162","-1032","-738","558","3739748","-12207535","5864","28659","1681","27472","754"
"58887.350","94242","28174","11266","615","-119","-1094","-479","558","3739750","-12207655","5860","28656","1684","27597","767"
"58888.350","94251","28178","11409","737","-150","-111","-577","570","3739756","-12207776","5856","28659","1651","27772","701"
"58889.350","94257","28167","11500","804","-156","-564","-559","572","3739765","-12207897","5852","28647","1676","27916","750"
"58890.350","94245","28176","11510","805","-57","133","-675","570","3739776","-12208017","5848","28657","1701","28044","686"
"58891.350","94267","28180","11649","904","-172","518","-585","578","3739790","-12208137","5844","28660","1590","28143","650"
"58892.350","94263","28166","11550","781","-118","-216","-548","568","3739806","-12208257","5837","28646","1671","28332","623"
"58893.350","94232","28166","11635","863","-64","-400","-641","574","3739825","-12208377","5825","28648","1484","28390","704"
"58894.350","94258","28166","11693","868","-222","216","-571","575","3739847","-12208497","5805","28646","1319","28580","628"
"58895.350","94262","28170","11664","819","-166","282","-458","576","3739871","-12208616","5792","28650","1506","28695","593"
"58896.350","94276","28167","11677","799","-185","284","-481","573","3739896","-12208734","5785","28645","1213","28780","606"
"58897.350","94243","28182","11744","852","-136","303","-810","576","3739925","-12208853","5779","28664","1074","28877","612"
"58898.350","94260","28184","11697","801","-18","2134","-665","574","3739954","-12208969","5775","28664","948","28888","539"
"58899.350","94310","28162","11719","757","-108","-441","-430","569","3739986","-12209086","5770","28638","824","28975","611"
"58900.350","94268","28170","11700","686","-186","-815","-485","569","3740019","-12209204","5764","28649","705","29095","660"
"58901.350","94300","28163","11695","652","-185","-389","-620","566","3740053","-12209321","5758","28639","547","29180","644"
"58902.350","94304","28160","11721","688","-86","-589","-687","565","3740089","-12209437","5752","28636","482","29122","637"
"58903.350","94299","28160","11718","656","-89","594","-505","565","3740125","-12209554","5744","28636","309","29189","623"
"58904.350","94336","28164","11753","656","-75","201","-485","566","3740162","-12209671","5737","28637","471","29172","555"
"58905.350","94314","28168","11768","635","-100","-240","-596","560","3740200","-12209785","5730","28643","347","29221","621"
"58906.350","94315","28178","11850","671","-159","1025","-727","570","3740239","-12209902","5722","28653","254","29306","586"
"58907.350","94326","28177","12027","784","-322","1904","-575","576","3740278","-12210018","5720","28651","154","29343","551"
"58908.350","94335","28196","11873","543","-455","1953","-479","561","3740318","-12210134","5719","28669","26","29423","533"
"58909.350","94323","28181","11903","603","-353","1369","-456","566","3740357","-12210251","5724","28655","168","29473","589"
"58910.350","94301","28171","11942","689","-246","1231","-830","568","3740398","-12210369","5730","28647","184","29388","659"
"58911.350","94326","28177","12003","712","-367","434","-469","574","3740438","-12210483","5738","28651","138","29422","652"
"58912.350","94326","28170","11883","631","-268","-1659","-591","568","3740479","-12210599","5750","28644","243","29452","727"
"58913.350","94288","28172","11777","629","-65","-1673","-512","562","3740519","-12210716","5764","28649","76","29349","796"
"58914.350","94305","28158","11875","741","-105","-698","-609","568","3740561","-12210832","5776","28634","63","29357","676"
"58915.350","94283","28153","11840","745","-42","-984","-705","570","3740603","-12210947","5786","28630","129","29344","741"
"58916.350","94272","28153","11897","809","-84","-462","-575","569","3740644","-12211059","5798","28632","76","29365","709"
"58917.350","94277","28146","11923","820","-160","-377","-702","571","3740686","-12211174","5811","28624","229","29389","681"
"58918.350","94251","28149","11913","829","-148","172","-578","576","3740728","-12211289","5825","28629","124","29447","699"
"58919.350","94249","28147","11989","893","-207","340","-644","576","3740770","-12211402","5839","28628","272","29448","660"
"58920.350","94235","28147","11934","843","-221","-454","-605","576","3740812","-12211516","5854","28629","267","29484","736"
"58921.350","94218","28153","11921","846","-220","214","-667","576","3740855","-12211629","5869","28637","269","29537","669"
"58922.350","94215","28147","11873","796","-230","330","-500","574","3740898","-12211743","5885","28631","379","29551","657"
"58923.350","94200","28156","11741","688","-165","-325","-753","568","3740942","-12211854","5900","28641","291","29580","687"
"58924.350","94184","28156","11700","684","-95","-455","-677","567","3740985","-12211967","5913","28642","390","29594","693"
"58925.350","94184","28147","11679","654","-131","-418","-559","563","3741030","-12212078","5924","28633","327","29649","684"
"58926.350","94167","28156","11558","543","-96","-939","-620","555","3741074","-12212189","5933","28643","318","29672","726"
"58927.350","94173","28159","11637","617","-155","-1472","-523","562","3741120","-12212300","5939","28647","310","29723","739"
"58928.350","94170","28155","11790","761","-238","-1139","-574","572","3741166","-12212411","5945","28643","396","29765","714"
"58929.350","94180","28153","11796","764","-270","-1012","-479","571","3741213","-12212522","5947","28640","397","29814","680"
"58930.350","94167","28158","11764","811","-124","-519","-623","571","3741259","-12212632","5950","28645","556","29814","665"
"58931.350","94170","28156","11781","801","-195","599","-561","577","3741307","-12212740","5952","28643","399","29851","624"
"58932.350","94145","28163","11713","728","-177","-43","-638","567","3741355","-12212847","5957","28653","62","29891","705"
"58933.350","94107","28159","11779","844","-101","1006","-577","577","3741404","-12212957","5963","28651","79","29859","737"
"58934.350","94161","28158","11736","733","-213","551","-884","569","3741453","-12213066","5971","28646","62","29833","659"
"58935.350","94129","28153","11776","745","-267","72","-683","571","3741501","-12213173","5982","28644","-2","29890","718"
"58936.350","94129","28151","11755","669","-331","845","-537","570","3741551","-12213279","5996","28642","34","29958","644"
"58937.350","94116","28152","11711","623","-296","142","-651","563","3741599","-12213388","6010","28644","103","29942","686"
"58938.350","94070","28164","11627","530","-282","387","-543","559","3741649","-12213496","6020","28660","262","30036","725"
"58939.350","94080","28160","11698","555","-358","800","-508","569","3741699","-12213604","6035","28656","159","30038","683"
"58940.350","94073","28150","11621","488","-301","-695","-522","554","3741748","-12213713","6049","28646","280","30080","742"
"58941.350","94043","28152","11498","397","-199","477","-738","546","3741798","-12213821","6062","28651","165","30073","693"
"58942.350","94046","28153","11487","347","-234","393","-535","548","3741849","-12213927","6074","28651","180","30097","666"
"58943.350","94010","28156","11513","397","-166","166","-581","545","3741900","-12214035","6084","28657","130","30133","702"
"58944.350","94011","28148","11476","388","-76","1405","-514","539","3741951","-12214143","6093","28650","120","30062","681"
"58945.350","94026","28145","11546","441","-71","58","-600","541","3742003","-12214249","6103","28644","116","30063","667"
"58946.350","93991","28132","11710","668","32","-448","-687","563","3742055","-12214357","6111","28635","224","30018","742"
"58947.350","94003","28134","11745","637","-82","-481","-621","560","3742107","-12214466","6122","28635","103","30024","739"
"58948.350","93968","28130","11681","508","-154","-238","-696","555","3742160","-12214573","6135","28635","-93","30115","749"
"58949.350","93953","28141","11652","445","-172","216","-534","552","3742213","-12214679","6152","28647","-118","30140","733"
"58950.350","93954","28145","11743","480","-273","141","-578","559","3742266","-12214788","6170","28650","-82","30113","713"
"58951.350","93928","28159","11783","494","-295","997","-541","557","3742319","-12214897","6188","28667","-136","30185","679"
"58952.350","93925","28158","11961","688","-269","2057","-550","567","3742371","-12215004","6206","28666","197","30119","628"
"58953.350","93936","28143","11899","599","-258","1044","-661","562","3742424","-12215113","6223","28650","114","30137","577"
"58954.350","93912","28142","11994","645","-322","-1292","-492","568","3742477","-12215221","6239","28652","-8","30155","707"
"58955.350","93880","28137","11900","572","-249","-1154","-611","563","3742530","-12215331","6251","28649","-18","30141","729"
"58956.350","93864","28143","11778","432","-227","494","-813","554","3742584","-12215438","6260","28656","-116","30165","676"
"58957.350","93872","28146","11859","520","-179","1311","-560","556","3742637","-12215547","6268","28659","27","30137","607"
"58958.350","93842","28130","12037","749","-91","2014","-602","568","3742690","-12215656","6275","28645","42","30096","607"
"58959.350","93860","28148","11945","600","-99","3176","-517","558","3742745","-12215764","6285","28662","-142","30033","531"
"58960.350","93859","28141","12047","657","-136","1290","-554","567","3742799","-12215873","6296","28655","-297","30075","581"
"58961.350","93830","28132","12113","735","-82","924","-476","571","3742852","-12215983","6305","28649","-280","30013","609"
"58962.350","93820","28145","11959","539","-73","1749","-565","553","3742906","-12216095","6312","28662","-254","29969","592"
