R0: PRELIMINARY DATA                                                                                                                                                                                    ,,,,,,,,,,,,,,,
TIME_UTC, P, T, TAS, U, V, W, TEDR, REYN, G_LAT, G_LONG, G_ALT, POT, ROLL, HDG, PITCH                                                                                                                   
73010,99263,29307,11494,226,-465,-769,-630,552,3743267,-12205635,387,29369,313,33974,3573
73011,99381,29292,11255,306,-488,-941,-644,560,3743267,-12205635,387,29344,727,34022,3585
73012,98864,29281,10875,156,-433,-1321,-689,546,3743437,-12205725,1288,29376,6470,35149,3688
73013,97879,29226,10445,63,-449,245,-919,550,3743437,-12205725,1288,29406,7333,710,3263
73014,97477,29185,10107,52,-426,1062,-1013,543,3743516,-12205743,1900,29399,7931,1584,2873
73015,96974,29159,9794,34,-349,881,-615,539,3743596,-12205734,2541,29417,8290,2544,2610
73016,96656,29137,9521,28,-262,1044,-803,524,3743670,-12205707,3086,29421,8271,3398,2191
73017,96346,29120,9299,67,-175,1471,-691,508,3743741,-12205658,3504,29431,8590,4206,1705
73018,96039,29094,9159,115,-105,1603,-719,498,3743805,-12205595,3851,29432,8339,5033,1213
73019,95789,29076,9115,150,-36,1419,-751,502,3743866,-12205526,4098,29436,7858,5975,844
73020,95708,29064,9197,150,-18,1167,-786,498,3743921,-12205444,4234,29431,7396,6742,554
73021,95598,29043,9321,182,-19,887,-643,510,3743966,-12205355,4197,29419,6883,7555,360
73022,95435,29036,9416,233,40,290,-734,518,3744026,-12205150,4139,29426,6319,8540,299
73023,95446,29052,9594,239,48,-235,-715,524,3744026,-12205150,4139,29441,5896,9347,293
73024,95619,29062,9788,239,54,-79,-722,516,3744040,-12205043,4074,29437,5831,10054,264
73025,95696,29047,9940,307,30,-26,-688,536,3744037,-12204928,3987,29415,5560,10837,220
73026.05,95709,29055,10096,372,37,-309,-699,538,3744024,-12204814,3891,29421,5401,11673,267
73027.05,95774,29061,10286,373,2,-243,-681,538,3743997,-12204699,3803,29422,5346,12471,340
73028.05,95817,29056,10410,412,-10,-489,-724,541,3743958,-12204589,3728,29413,5276,13284,408
73029.05,95815,29055,10475,473,-35,-535,-891,547,3743906,-12204487,3666,29412,5076,14111,533
73030.05,95937,29072,10560,462,-62,-648,-689,547,3743844,-12204390,3617,29419,5077,14854,637
73031.05,96038,29071,10626,426,-83,-910,-647,546,3743773,-12204306,3599,29409,5024,15564,693
73032.05,96032,29080,10676,451,-84,-902,-645,547,3743690,-12204235,3597,29419,5020,16293,784
73033.05,96241,29088,10710,442,-68,-298,-645,548,3743601,-12204179,3591,29408,4998,16889,745
73034.05,96420,29087,10731,425,-80,-465,-661,542,3743511,-12204132,3594,29391,5043,17348,636
73035.05,96541,29089,10763,438,-72,-150,-580,542,3743416,-12204094,3590,29383,4508,17802,546
73036.05,96634,29087,10793,422,-92,161,-752,544,3743320,-12204070,3588,29373,3252,18041,498
73037.05,96696,29087,10849,444,-95,-141,-819,545,3743222,-12204055,3583,29367,2674,18172,496
73038.05,96738,29083,10851,425,-159,-73,-623,549,3743124,-12204045,3566,29359,1747,18310,497
73039.05,96767,29083,10898,405,-187,-145,-672,542,3743024,-12204041,3538,29358,1397,18406,527
73040.05,96783,29084,10929,379,-213,-294,-915,544,3742924,-12204041,3514,29357,957,18484,604
73041.05,96738,29091,10926,307,-255,-533,-703,537,3742824,-12204044,3491,29368,623,18557,825
73042.05,96757,29088,11011,277,-181,-405,-723,530,3742723,-12204049,3463,29363,517,18579,916
73043.05,96787,29083,10977,349,-225,-178,-793,543,3742622,-12204055,3450,29355,436,18638,945
73044.05,96767,29101,11037,424,-176,-464,-561,550,3742521,-12204064,3465,29376,301,18715,1016
73045.05,96738,29108,11068,390,-124,-407,-648,536,3742420,-12204075,3493,29385,293,18745,990
73046.05,96692,29106,11053,433,-111,-77,-607,542,3742320,-12204087,3537,29387,362,18749,1004
73047.05,96615,29096,11015,464,-126,-127,-714,551,3742220,-12204100,3612,29383,146,18820,1025
73048.05,96551,29089,10925,422,-183,-125,-617,544,3742120,-12204113,3699,29382,457,18878,1046
73049.05,96484,29084,10940,433,-138,-241,-672,544,3742021,-12204126,3797,29383,366,18892,1045
73050.05,96403,29079,10923,440,-123,-294,-603,543,3741923,-12204140,3884,29385,344,18953,1045
73051.05,96325,29071,10898,413,-113,-14,-695,547,3741824,-12204155,3964,29384,349,18995,1044
73052.05,96248,29068,10871,464,-118,-39,-674,548,3741727,-12204171,4042,29387,137,19016,1031
73053.05,96158,29073,10851,444,-99,-45,-680,547,3741630,-12204187,4117,29401,126,19061,1042
73054.05,96094,29071,10829,470,-88,-125,-753,548,3741533,-12204203,4192,29404,11,19070,1039
73055.05,96056,29064,10791,470,-98,-49,-786,549,3741436,-12204222,4265,29400,-68,19062,910
73056.05,96012,29058,10794,462,-75,195,-645,548,3741340,-12204238,4333,29398,-33,19041,778
73057.05,95963,29059,10747,446,-108,110,-781,548,3741243,-12204255,4395,29403,-46,19067,770
73058.05,95941,29062,10778,429,-76,267,-857,546,3741147,-12204274,4446,29408,47,19070,672
73059.05,95909,29064,10766,423,-92,-81,-736,540,3741051,-12204290,4480,29412,-28,19074,716
73060.05,95882,29061,10728,377,-124,-61,-723,539,3740955,-12204310,4494,29412,3,19099,761
73061.05,95873,29063,10709,425,-149,-185,-701,546,3740859,-12204328,4494,29415,65,19139,747
73062.05,95841,29059,10696,393,-152,40,-676,544,3740763,-12204345,4489,29414,-65,19170,801
73063.05,95825,29057,10693,401,-147,-111,-634,544,3740667,-12204364,4495,29413,-128,19133,834
73064.05,95811,29054,10639,414,-188,-175,-803,546,3740572,-12204384,4505,29411,-159,19156,825
73065.05,95790,29053,10611,360,-196,-234,-925,541,3740476,-12204402,4518,29412,-45,19146,841
73066.05,95770,29052,10614,359,-175,19,-673,540,3740380,-12204421,4533,29413,36,19147,834
73067.05,95751,29049,10625,393,-158,-146,-756,543,3740284,-12204440,4551,29411,64,19188,813
73068.05,95725,29049,10600,336,-161,-118,-793,538,3740189,-12204459,4571,29414,-34,19203,810
73069.05,95699,29047,10599,357,-160,-316,-721,537,3740094,-12204480,4590,29414,-189,19154,804
73070.05,95671,29045,10563,336,-183,-150,-674,538,3740000,-12204499,4608,29415,-76,19113,817
