R0: PRELIMINARY DATA                                                                                                                                                                                    ,,,,,,,,,,,,,,,
TIME_UTC, P, T, TAS, U, V, W, TEDR, REYN, G_LAT, G_LONG, G_ALT, POT, ROLL, HDG, PITCH                                                                                                                   
72415.4,98428,28969,10390,-438,603,874,-568,569,3740057,-12204231,499,29101,3721,17900,1904
72416.4,98154,28948,10365,-433,594,874,-641,571,3739975,-12204207,613,29103,4038,18301,1859
72417.4,97898,28919,10303,-480,568,1714,-445,569,3739892,-12204194,742,29095,3983,18706,1783
72418.4,97679,28891,10315,-366,557,1489,-520,563,3739809,-12204187,871,29085,4215,19105,1673
72419.4,97424,28898,10330,-357,564,1522,-528,564,3739725,-12204189,1006,29114,4110,19622,1613
72420.4,97232,28908,10570,-393,777,951,-589,577,3739641,-12204200,1146,29141,4280,19954,1519
72421.4,97032,28895,10641,-358,823,1040,-730,577,3739557,-12204220,1291,29145,4081,20349,1485
72422.4,96849,28928,10703,-332,826,1298,-728,576,3739474,-12204249,1441,29194,4137,20756,1402
72423.4,96677,28878,10803,-242,863,644,-797,576,3739392,-12204288,1594,29159,4003,21175,1346
72424.4,96524,28871,10801,-236,882,1226,-628,576,3739310,-12204334,1745,29165,3846,21433,1201
72425.4,96350,28921,10825,-196,836,1111,-588,574,3739230,-12204389,1898,29230,3644,21890,1251
72426.4,96196,28932,10898,-148,872,1026,-667,574,3739153,-12204451,2050,29255,3572,22269,1236
72427.4,96066,28964,11005,-55,915,801,-701,576,3739078,-12204521,2205,29299,3155,22609,1258
72428.4,95910,28938,10998,-35,867,670,-668,575,3739006,-12204618,2521,29285,2809,22894,1318
72429.4,95768,28932,10968,-50,837,1056,-696,573,3738937,-12204715,2793,29292,2591,23144,1309
72430.4,95623,28925,10997,-44,841,630,-723,574,3738872,-12204811,3040,29298,2541,23373,1300
72431.45,95476,28915,10981,-32,810,699,-645,572,3738812,-12204910,3271,29300,2292,23583,1272
72432.45,95353,28919,10925,-41,806,561,-876,572,3738754,-12205011,3490,29315,1558,23686,1130
72433.45,95213,28922,10863,-85,807,669,-556,572,3738701,-12205114,3696,29330,1315,23765,1171
72434.45,95087,28910,10830,-83,776,955,-504,569,3738651,-12205217,3888,29329,949,23860,1181
